,종가,시가,고가,저가,거래량,개인순매수,외국인순매수,기관순매수,외국인보유,기관보유량,전일비,변화
2020-06-05,1320.0,1340.0,1345.0,1310.0,485259.0,-12599,12599,0,0.5351,-492196,25.0,FALL
2020-06-04,1345.0,1365.0,1370.0,1315.0,1252015.0,45952,-45952,0,0.5348,-492196,10.0,FALL
2020-06-03,1355.0,1310.0,1365.0,1300.0,2522534.0,-2062,2062,0,0.5357,-492196,45.0,RISE
2020-06-02,1310.0,1275.0,1375.0,1275.0,3120367.0,85186.0,-85186.0,0.0,0.5357,-542214.0,35.0,RISE
2020-06-01,1275.0,1275.0,1290.0,1265.0,505299.0,-43930.0,43930.0,0.0,0.5375,-542214.0,10.0,RISE
2020-05-29,1265.0,1280.0,1300.0,1250.0,670143.0,11928.0,-11927.0,-1.0,0.5366,-542214.0,15.0,FALL
2020-05-28,1280.0,1305.0,1315.0,1225.0,1150059.0,-31870.0,31870.0,0.0,0.5368,-542213.0,15.0,FALL
2020-05-27,1295.0,1315.0,1320.0,1290.0,745538.0,75379.0,-75379.0,0.0,0.5361,-542213.0,10.0,FALL
2020-05-26,1305.0,1315.0,1325.0,1290.0,1274958.0,-44038.0,44038.0,0.0,0.5377,-542213.0,20.0,FALL
2020-05-25,1325.0,1255.0,1345.0,1245.0,5205183.0,20212.0,-20212.0,0.0,0.5368,-542213.0,85.0,RISE
2020-05-21,1255.0,1250.0,1260.0,1240.0,449441.0,-36151.0,36151.0,0.0,0.5371,-602812.0,5.0,RISE
2020-05-20,1250.0,1260.0,1275.0,1240.0,937464.0,23338.0,-23338.0,0.0,0.5363,-602812.0,10.0,FALL
2020-05-19,1260.0,1240.0,1270.0,1215.0,1403580.0,15830.0,-15830.0,0.0,0.5368,-602812.0,25.0,RISE
2020-05-18,1235.0,1115.0,1305.0,1110.0,7626198.0,130253.0,-130253.0,0.0,0.5371,-602812.0,100.0,RISE
2020-05-15,1135.0,1145.0,1145.0,1110.0,428954.0,-86799.0,86799.0,0.0,0.5398,-602812.0,10.0,FALL
2020-05-14,1145.0,1165.0,1175.0,1135.0,342420.0,-18141.0,18141.0,0.0,0.5379999999999999,-602812.0,35.0,FALL
2020-05-13,1180.0,1160.0,1195.0,1145.0,444096.0,-68666.0,68666.0,0.0,0.5376,-602812.0,0.0,EVEN
2020-05-12,1180.0,1245.0,1250.0,1175.0,683092.0,10095.0,-10095.0,0.0,0.5362,-602812.0,65.0,FALL
2020-05-11,1245.0,1225.0,1245.0,1205.0,810673.0,28655.0,-28655.0,0.0,0.5364,-602812.0,15.0,RISE
2020-05-08,1230.0,1240.0,1255.0,1215.0,852510.0,21689.0,-21689.0,0.0,0.537,-602812.0,5.0,FALL
2020-05-07,1235.0,1240.0,1255.0,1200.0,1895754.0,70987.0,-70987.0,0.0,0.5375,-602812.0,5.0,FALL
2020-05-06,1240.0,1130.0,1315.0,1110.0,12475863.0,281410.0,-281410.0,0.0,0.5389,-602812.0,155.0,RISE
2020-05-04,1085.0,995.0,1195.0,995.0,4608203.0,193389.0,-193389.0,0.0,0.5448,-602812.0,88.0,RISE
2020-04-29,997.0,979.0,999.0,971.0,183360.0,-19250.0,19250.0,0.0,0.5488,-602812.0,18.0,RISE
2020-04-28,979.0,998.0,998.0,965.0,104343.0,24555.0,-24554.0,-1.0,0.5484,-602812.0,7.0,FALL
2020-04-27,986.0,981.0,989.0,969.0,207985.0,-43600.0,43600.0,0.0,0.5489,-602811.0,17.0,RISE
2020-04-24,969.0,984.0,990.0,965.0,87155.0,40178.0,-40178.0,0.0,0.5479999999999999,-602811.0,15.0,FALL
2020-04-23,984.0,979.0,998.0,977.0,201643.0,-25177.0,25177.0,0.0,0.5488,-602811.0,9.0,RISE
2020-04-22,975.0,974.0,975.0,939.0,182130.0,-5120.0,5120.0,0.0,0.5483,-602811.0,0.0,EVEN
2020-04-21,975.0,998.0,1010.0,920.0,489547.0,11879.0,-11879.0,0.0,0.5482,-602811.0,25.0,FALL
2020-04-20,1000.0,1010.0,1040.0,997.0,181673.0,13968.0,-13968.0,0.0,0.5484,-602811.0,0.0,EVEN
2020-04-17,1000.0,965.0,1010.0,953.0,576576.0,-120023.0,120023.0,0.0,0.5487,-602811.0,49.0,RISE
2020-04-16,951.0,950.0,954.0,912.0,196107.0,35480.0,-35480.0,0.0,0.5462,-602811.0,13.0,RISE
2020-04-14,938.0,885.0,946.0,885.0,248940.0,-31958.0,28791.0,3167.0,0.547,-602811.0,54.0,RISE
2020-04-13,884.0,916.0,917.0,884.0,227935.0,-9761.0,9761.0,0.0,0.5464,-605978.0,32.0,FALL
2020-04-10,916.0,936.0,936.0,891.0,385515.0,-3484.0,3484.0,0.0,0.5462,-605978.0,9.0,FALL
2020-04-09,925.0,938.0,938.0,922.0,261105.0,3543.0,-3543.0,0.0,0.5461,-605978.0,4.0,RISE
2020-04-08,921.0,913.0,934.0,885.0,476462.0,-57875.0,57875.0,0.0,0.5462,-605978.0,23.0,RISE
2020-04-07,898.0,899.0,910.0,885.0,428320.0,-41279.0,41279.0,0.0,0.545,-605978.0,22.0,RISE
2020-04-06,876.0,867.0,877.0,850.0,271999.0,-44825.0,44825.0,0.0,0.5441,-605978.0,26.0,RISE
2020-04-03,850.0,840.0,867.0,840.0,133176.0,8624.0,-8624.0,0.0,0.5432,-605978.0,14.0,RISE
2020-04-02,836.0,812.0,836.0,797.0,128459.0,17688.0,-17687.0,-1.0,0.5434,-605978.0,24.0,RISE
2020-04-01,812.0,807.0,843.0,785.0,217967.0,5196.0,-5196.0,0.0,0.5444,-605977.0,5.0,RISE
2020-03-31,807.0,746.0,818.0,746.0,357400.0,22172.0,-22172.0,0.0,0.5445,-605977.0,65.0,RISE
2020-03-30,742.0,710.0,742.0,696.0,378888.0,-2758.0,2758.0,0.0,0.5449,-605977.0,17.0,RISE
2020-03-27,725.0,800.0,803.0,707.0,477721.0,66696.0,-66696.0,0.0,0.5449,-605977.0,12.0,FALL
2020-03-26,737.0,730.0,752.0,694.0,396682.0,5320.0,-5320.0,0.0,0.5463,-605977.0,27.0,RISE
2020-03-25,710.0,679.0,717.0,679.0,524609.0,60928.0,-60928.0,0.0,0.5464,-605977.0,46.0,RISE
2020-03-24,664.0,638.0,675.0,631.0,382121.0,50393.0,-50393.0,0.0,0.5476,-605977.0,27.0,RISE
2020-03-23,637.0,644.0,675.0,585.0,369483.0,39822.0,-39822.0,0.0,0.5493,-605977.0,65.0,FALL
2020-03-20,702.0,630.0,703.0,630.0,388108.0,-40016.0,40016.0,0.0,0.5501,-605977.0,46.0,RISE
2020-03-19,656.0,778.0,840.0,645.0,1135427.0,58968.0,-58968.0,0.0,0.5493,-605977.0,139.0,FALL
2020-03-18,795.0,840.0,854.0,770.0,239059.0,43817.0,-43817.0,0.0,0.5505,-605977.0,36.0,FALL
2020-03-17,831.0,785.0,856.0,740.0,285352.0,-35618.0,35618.0,0.0,0.5551,-605977.0,4.0,FALL
2020-03-16,835.0,850.0,886.0,835.0,533134.0,-9087.0,9085.0,2.0,0.5544,-605977.0,23.0,FALL
2020-03-13,858.0,887.0,938.0,811.0,796908.0,20893.0,-20893.0,0.0,0.5583,-605979.0,109.0,FALL
2020-03-12,967.0,1030.0,1055.0,950.0,792522.0,58854.0,-58854.0,0.0,0.5587,-605979.0,88.0,FALL
2020-03-11,1055.0,1125.0,1140.0,1045.0,414391.0,-28261.0,28261.0,0.0,0.5599,-605979.0,60.0,FALL
2020-03-10,1115.0,1100.0,1125.0,1080.0,334785.0,57903.0,-57903.0,0.0,0.5587,-605979.0,5.0,RISE
2020-03-09,1110.0,1135.0,1150.0,1095.0,409985.0,79712.0,-79712.0,0.0,0.5557,-605979.0,60.0,FALL
2020-03-06,1170.0,1195.0,1200.0,1160.0,80877.0,23198.0,-23198.0,0.0,0.5574,-605979.0,35.0,FALL
2020-03-05,1205.0,1180.0,1215.0,1165.0,206396.0,-41741.0,41741.0,0.0,0.5579,-605979.0,40.0,RISE
2020-03-04,1165.0,1145.0,1175.0,1130.0,75322.0,-19397.0,19397.0,0.0,0.557,-605979.0,20.0,RISE
2020-03-03,1145.0,1170.0,1190.0,1145.0,203813.0,26356.0,-26356.0,0.0,0.5566,-605979.0,20.0,FALL
2020-03-02,1165.0,1100.0,1165.0,1090.0,153387.0,-19101.0,19101.0,0.0,0.5572,-605979.0,65.0,RISE
2020-02-28,1100.0,1180.0,1185.0,1095.0,676545.0,108015.0,-108015.0,0.0,0.5568,-605979.0,95.0,FALL
2020-02-27,1195.0,1240.0,1245.0,1185.0,194516.0,80295.0,-80291.0,-4.0,0.5589999999999999,-605979.0,45.0,FALL
2020-02-26,1240.0,1205.0,1240.0,1200.0,65505.0,25305.0,-25305.0,0.0,0.5601,-605975.0,15.0,RISE
2020-02-25,1225.0,1200.0,1240.0,1180.0,171958.0,46533.0,-46533.0,0.0,0.5606,-605975.0,25.0,RISE
2020-02-24,1200.0,1210.0,1230.0,1200.0,238358.0,35436.0,-35436.0,0.0,0.5615,-605975.0,55.0,FALL
2020-02-21,1255.0,1270.0,1270.0,1240.0,169390.0,32980.0,-32980.0,0.0,0.5623,-605975.0,15.0,FALL
2020-02-20,1270.0,1250.0,1275.0,1245.0,189192.0,29670.0,-29670.0,0.0,0.563,-605975.0,25.0,RISE
2020-02-19,1245.0,1255.0,1260.0,1230.0,172947.0,15138.0,-15138.0,0.0,0.5636,-605975.0,5.0,FALL
2020-02-18,1250.0,1270.0,1275.0,1235.0,191556.0,38161.0,-38161.0,0.0,0.5639,-605975.0,20.0,FALL
2020-02-17,1270.0,1285.0,1285.0,1260.0,212850.0,-277.0,277.0,0.0,0.5647,-605975.0,15.0,FALL
2020-02-14,1285.0,1300.0,1300.0,1280.0,98985.0,6781.0,-6781.0,0.0,0.5647,-605975.0,15.0,FALL
2020-02-13,1300.0,1305.0,1310.0,1285.0,177648.0,17046.0,-17046.0,0.0,0.5648,-605975.0,5.0,FALL
2020-02-12,1305.0,1295.0,1310.0,1290.0,156212.0,714.0,-714.0,0.0,0.5652,-605975.0,10.0,RISE
2020-02-11,1295.0,1295.0,1310.0,1290.0,169258.0,-1289.0,1289.0,0.0,0.5652,-605975.0,0.0,EVEN
2020-02-10,1295.0,1310.0,1315.0,1290.0,143458.0,3872.0,-3872.0,0.0,0.5651,-605975.0,15.0,FALL
2020-02-07,1310.0,1315.0,1315.0,1285.0,146351.0,-1260.0,1260.0,0.0,0.5652,-605975.0,0.0,EVEN
2020-02-06,1310.0,1305.0,1315.0,1290.0,92110.0,-3186.0,3186.0,0.0,0.5652,-605975.0,15.0,RISE
2020-02-05,1295.0,1290.0,1315.0,1285.0,144060.0,-35928.0,35928.0,0.0,0.5651,-605975.0,10.0,RISE
2020-02-04,1285.0,1245.0,1290.0,1235.0,170751.0,-33525.0,33525.0,0.0,0.5645,-605975.0,50.0,RISE
2020-02-03,1235.0,1220.0,1240.0,1180.0,453075.0,-51331.0,51331.0,0.0,0.5638,-605975.0,10.0,FALL
2020-01-31,1245.0,1285.0,1315.0,1245.0,290347.0,8481.0,-8481.0,0.0,0.5627,-605975.0,40.0,FALL
2020-01-30,1285.0,1340.0,1345.0,1280.0,242347.0,48403.0,-48403.0,0.0,0.5629,-605975.0,50.0,FALL
2020-01-29,1335.0,1345.0,1345.0,1305.0,262629.0,-75974.0,75974.0,0.0,0.5639,-605975.0,20.0,RISE
2020-01-28,1315.0,1290.0,1315.0,1215.0,373270.0,-23131.0,23131.0,0.0,0.5623,-605975.0,25.0,FALL
2020-01-23,1340.0,1335.0,1355.0,1325.0,143494.0,-8832.0,8832.0,0.0,0.5618,-605975.0,0.0,EVEN
2020-01-22,1340.0,1340.0,1345.0,1325.0,131210.0,-13147.0,13147.0,0.0,0.5616,-605975.0,0.0,EVEN
2020-01-21,1340.0,1335.0,1360.0,1325.0,265206.0,21409.0,-21409.0,0.0,0.5614,-605975.0,10.0,RISE
2020-01-20,1330.0,1335.0,1350.0,1320.0,223701.0,-30622.0,30622.0,0.0,0.5618,-605975.0,5.0,FALL
2020-01-17,1335.0,1325.0,1360.0,1320.0,331943.0,-94413.0,94413.0,0.0,0.5612,-605975.0,15.0,RISE
2020-01-16,1320.0,1335.0,1340.0,1310.0,305573.0,-63334.0,63334.0,0.0,0.5592,-605975.0,10.0,FALL
2020-01-15,1330.0,1295.0,1330.0,1295.0,457639.0,-171280.0,171280.0,0.0,0.5579,-605975.0,30.0,RISE
2020-01-14,1300.0,1300.0,1325.0,1295.0,464816.0,-132421.0,132421.0,0.0,0.5569,-605975.0,0.0,EVEN
2020-01-13,1300.0,1255.0,1305.0,1255.0,373000.0,-111766.0,111766.0,0.0,0.5535,-605975.0,40.0,RISE
2020-01-10,1260.0,1240.0,1270.0,1235.0,232983.0,-47181.0,47181.0,0.0,0.5491,-605975.0,20.0,RISE
2020-01-09,1240.0,1215.0,1245.0,1215.0,276155.0,-41414.0,41414.0,0.0,0.5481,-605975.0,50.0,RISE
2020-01-08,1190.0,1260.0,1260.0,1170.0,878664.0,5048.0,-5048.0,0.0,0.5469,-605975.0,80.0,FALL
2020-01-07,1270.0,1255.0,1290.0,1245.0,548408.0,-53527.0,53527.0,0.0,0.547,-605975.0,15.0,RISE
2020-01-06,1255.0,1385.0,1435.0,1210.0,3159370.0,317231.0,-317231.0,0.0,0.5459,-605975.0,90.0,FALL
2020-01-03,1345.0,1370.0,1370.0,1335.0,667258.0,-8213.0,8213.0,0.0,0.5525,-605975.0,25.0,FALL
2020-01-02,1370.0,1320.0,1370.0,1320.0,626068.0,-79777.0,79777.0,0.0,0.5523,-605975.0,50.0,RISE
2019-12-30,1320.0,1295.0,1325.0,1285.0,326274.0,-109806.0,109806.0,0.0,0.5506,-605975.0,20.0,RISE
2019-12-27,1300.0,1300.0,1310.0,1290.0,139555.0,-37015.0,37015.0,0.0,0.5483,-605975.0,5.0,FALL
2019-12-26,1305.0,1270.0,1305.0,1270.0,207859.0,-34484.0,34484.0,0.0,0.5476,-605975.0,30.0,RISE
2019-12-24,1275.0,1295.0,1295.0,1255.0,301043.0,-41949.0,41949.0,0.0,0.5469,-605975.0,20.0,FALL
2019-12-23,1295.0,1330.0,1330.0,1280.0,319122.0,4542.0,-4542.0,0.0,0.546,-605975.0,25.0,FALL
2019-12-20,1320.0,1350.0,1350.0,1320.0,276745.0,-1517.0,1517.0,0.0,0.5461,-605975.0,30.0,FALL
2019-12-19,1350.0,1360.0,1360.0,1330.0,453031.0,38671.0,-38671.0,0.0,0.546,-605975.0,10.0,FALL
2019-12-18,1360.0,1305.0,1365.0,1290.0,1293722.0,-119337.0,119337.0,0.0,0.5468,-605975.0,60.0,RISE
2019-12-17,1300.0,1300.0,1320.0,1295.0,309105.0,-56997.0,56997.0,0.0,0.5444,-605975.0,10.0,FALL
2019-12-16,1310.0,1320.0,1325.0,1295.0,151506.0,-26810.0,26809.0,1.0,0.5432,-605975.0,10.0,FALL
2019-12-13,1320.0,1310.0,1320.0,1295.0,454487.0,-118047.0,118046.0,1.0,0.5426,-605976.0,10.0,RISE
2019-12-12,1310.0,1300.0,1320.0,1290.0,327543.0,-11208.0,11207.0,1.0,0.5402,-605977.0,10.0,RISE
2019-12-11,1300.0,1290.0,1300.0,1275.0,243976.0,-27547.0,27547.0,0.0,0.54,-605978.0,15.0,RISE
2019-12-10,1285.0,1295.0,1300.0,1270.0,208790.0,15769.0,-15769.0,0.0,0.5394,-605978.0,15.0,FALL
2019-12-09,1300.0,1255.0,1310.0,1235.0,409285.0,-29000.0,29000.0,0.0,0.5397,-605978.0,50.0,RISE
2019-12-06,1250.0,1215.0,1255.0,1215.0,263542.0,-104503.0,116945.0,-12442.0,0.5391,-605978.0,40.0,RISE
2019-12-05,1210.0,1270.0,1290.0,1180.0,497813.0,-67178.0,67178.0,0.0,0.5367,-593536.0,60.0,FALL
2019-12-04,1270.0,1245.0,1305.0,1240.0,463971.0,32558.0,-32558.0,0.0,0.5353,-593536.0,20.0,RISE
2019-12-03,1250.0,1235.0,1265.0,1215.0,331531.0,-88813.0,88813.0,0.0,0.5359,-593536.0,0.0,EVEN
2019-12-02,1250.0,1280.0,1280.0,1230.0,341458.0,-52550.0,52550.0,0.0,0.5341,-593536.0,10.0,FALL
2019-11-29,1260.0,1320.0,1335.0,1250.0,598272.0,-78906.0,78906.0,0.0,0.5329999999999999,-593536.0,60.0,FALL
2019-11-28,1320.0,1310.0,1340.0,1300.0,591273.0,7409.0,-7409.0,0.0,0.5316,-593536.0,0.0,EVEN
2019-11-27,1320.0,1315.0,1320.0,1295.0,363217.0,-7953.0,7953.0,0.0,0.5317,-593536.0,0.0,EVEN
2019-11-26,1320.0,1305.0,1325.0,1285.0,672008.0,-73808.0,73808.0,0.0,0.5316,-593536.0,40.0,RISE
2019-11-25,1280.0,1280.0,1315.0,1280.0,686210.0,4221.0,-4221.0,0.0,0.53,-593536.0,0.0,EVEN
2019-11-22,1280.0,1250.0,1295.0,1245.0,496883.0,-3727.0,3727.0,0.0,0.5301,-593536.0,30.0,RISE
2019-11-21,1250.0,1260.0,1300.0,1240.0,719415.0,-3341.0,3341.0,0.0,0.5301,-593536.0,15.0,FALL
2019-11-20,1265.0,1310.0,1325.0,1240.0,1072432.0,-91534.0,91534.0,0.0,0.53,-593536.0,45.0,FALL
2019-11-19,1310.0,1345.0,1350.0,1310.0,645832.0,57836.0,-57836.0,0.0,0.5281,-593536.0,30.0,FALL
2019-11-18,1340.0,1330.0,1350.0,1305.0,752855.0,32137.0,-32137.0,0.0,0.5295,-593536.0,0.0,EVEN
2019-11-15,1340.0,1325.0,1340.0,1305.0,622498.0,-8740.0,8740.0,0.0,0.5302,-593536.0,15.0,RISE
2019-11-14,1325.0,1335.0,1355.0,1300.0,970727.0,11990.0,-11990.0,0.0,0.53,-593536.0,15.0,FALL
2019-11-13,1340.0,1355.0,1355.0,1310.0,1315733.0,-97554.0,97554.0,0.0,0.5302,-593536.0,15.0,FALL
2019-11-12,1355.0,1390.0,1410.0,1335.0,2582670.0,-20367.0,20377.0,-10.0,0.5282,-593536.0,65.0,FALL
2019-11-11,1420.0,1405.0,1430.0,1380.0,5326483.0,103923.0,-103923.0,0.0,0.5278,-593526.0,15.0,RISE
2019-11-08,1405.0,1430.0,1460.0,1375.0,9530214.0,271928.0,-195675.0,-76253.0,0.53,-593526.0,55.0,FALL
2019-11-07,1460.0,1130.0,1460.0,1130.0,26374245.0,439399.0,-515662.0,76263.0,0.5313,-517273.0,335.0,UPPER_LIMIT
2019-11-06,1125.0,1110.0,1125.0,1090.0,255352.0,1691.0,-1691.0,0.0,0.542,-593536.0,15.0,RISE
2019-11-05,1110.0,1120.0,1120.0,1085.0,142075.0,10006.0,-10006.0,0.0,0.542,-593536.0,0.0,EVEN
2019-11-04,1110.0,1085.0,1120.0,1080.0,113288.0,-7964.0,-4478.0,12442.0,0.5422,-593536.0,25.0,RISE
2019-11-01,1085.0,1080.0,1090.0,1075.0,82225.0,12433.0,-12433.0,0.0,0.5423,-605978.0,5.0,RISE
2019-10-31,1080.0,1085.0,1095.0,1075.0,119504.0,4394.0,-4394.0,0.0,0.5426,-605978.0,0.0,EVEN
2019-10-30,1080.0,1080.0,1100.0,1080.0,94562.0,7847.0,-7847.0,0.0,0.5427,-605978.0,20.0,FALL
2019-10-29,1100.0,1080.0,1100.0,1080.0,85200.0,2413.0,-2413.0,0.0,0.5428,-605978.0,20.0,RISE
2019-10-28,1080.0,1090.0,1100.0,1070.0,105092.0,7434.0,-7434.0,0.0,0.5429,-605978.0,10.0,RISE
2019-10-25,1070.0,1110.0,1110.0,1070.0,143624.0,34511.0,-34511.0,0.0,0.5429999999999999,-605978.0,20.0,FALL
2019-10-24,1090.0,1095.0,1110.0,1070.0,96911.0,-4487.0,4487.0,0.0,0.5437,-605978.0,15.0,RISE
2019-10-23,1075.0,1125.0,1135.0,1070.0,219869.0,13153.0,-13153.0,0.0,0.5437,-605978.0,50.0,FALL
2019-10-22,1125.0,1135.0,1135.0,1115.0,126584.0,18565.0,-18565.0,0.0,0.5439,-605978.0,10.0,FALL
2019-10-21,1135.0,1130.0,1160.0,1130.0,86653.0,24332.0,-24332.0,0.0,0.5443,-605978.0,5.0,RISE
2019-10-18,1130.0,1140.0,1150.0,1120.0,118726.0,29439.0,-29439.0,0.0,0.5448,-605978.0,0.0,EVEN
2019-10-17,1130.0,1130.0,1150.0,1120.0,143500.0,28896.0,-28896.0,0.0,0.5454,-605978.0,0.0,EVEN
2019-10-16,1130.0,1110.0,1140.0,1095.0,203504.0,6267.0,-6267.0,0.0,0.546,-605978.0,35.0,RISE
2019-10-15,1095.0,1085.0,1110.0,1075.0,128663.0,801.0,-800.0,-1.0,0.5462,-605978.0,10.0,RISE
2019-10-14,1085.0,1080.0,1090.0,1065.0,101125.0,16173.0,-16173.0,0.0,0.5462,-605977.0,15.0,RISE
2019-10-11,1070.0,1085.0,1085.0,1070.0,78771.0,8932.0,-8932.0,0.0,0.5465,-605977.0,15.0,FALL
2019-10-10,1085.0,1095.0,1100.0,1060.0,78549.0,16520.0,-16520.0,0.0,0.5467,-605977.0,10.0,FALL
2019-10-08,1095.0,1025.0,1105.0,1025.0,229641.0,-21682.0,21682.0,0.0,0.547,-605977.0,60.0,RISE
2019-10-07,1035.0,1070.0,1085.0,1030.0,238330.0,5914.0,-5913.0,-1.0,0.5466,-605977.0,35.0,FALL
2019-10-04,1070.0,1085.0,1090.0,1065.0,207871.0,-17453.0,17454.0,-1.0,0.5467,-605976.0,20.0,FALL
2019-10-02,1090.0,1110.0,1110.0,1075.0,142301.0,11840.0,-11839.0,-1.0,0.5463,-605975.0,10.0,FALL
2019-10-01,1100.0,1115.0,1115.0,1090.0,188515.0,-3586.0,3588.0,-2.0,0.5466,-605974.0,5.0,FALL
2019-09-30,1105.0,1110.0,1125.0,1100.0,137120.0,36745.0,-36743.0,-2.0,0.5465,-605972.0,5.0,FALL
2019-09-27,1110.0,1120.0,1130.0,1105.0,269172.0,39166.0,-39165.0,-1.0,0.5503,-605970.0,20.0,FALL
2019-09-26,1130.0,1125.0,1145.0,1115.0,126854.0,18452.0,-18451.0,-1.0,0.5512,-605969.0,5.0,RISE
2019-09-25,1125.0,1160.0,1165.0,1125.0,220113.0,69784.0,-69782.0,-2.0,0.5515,-605968.0,40.0,FALL
2019-09-24,1165.0,1165.0,1195.0,1160.0,200500.0,3710.0,-3714.0,4.0,0.5529999999999999,-605966.0,0.0,EVEN
2019-09-23,1165.0,1195.0,1195.0,1165.0,113992.0,8777.0,-8777.0,0.0,0.5529999999999999,-605970.0,30.0,FALL
2019-09-20,1195.0,1205.0,1215.0,1190.0,98399.0,24645.0,-24645.0,0.0,0.5532,-605970.0,5.0,FALL
2019-09-19,1200.0,1195.0,1225.0,1190.0,177155.0,29561.0,-29561.0,0.0,0.5537,-605970.0,5.0,RISE
2019-09-18,1195.0,1195.0,1205.0,1175.0,110799.0,36756.0,-36756.0,0.0,0.5544,-605970.0,0.0,EVEN
2019-09-17,1195.0,1175.0,1205.0,1170.0,170471.0,15850.0,-15850.0,0.0,0.5551,-605970.0,10.0,RISE
2019-09-16,1185.0,1175.0,1185.0,1155.0,126667.0,22577.0,-22577.0,0.0,0.5554,-605970.0,20.0,RISE
2019-09-11,1165.0,1170.0,1170.0,1150.0,64588.0,5765.0,-5765.0,0.0,0.5555,-605970.0,5.0,RISE
2019-09-10,1160.0,1165.0,1175.0,1150.0,112435.0,16090.0,-16090.0,0.0,0.5557,-605970.0,5.0,FALL
2019-09-09,1165.0,1170.0,1190.0,1160.0,89170.0,31911.0,-31911.0,0.0,0.556,-605970.0,10.0,FALL
2019-09-06,1175.0,1165.0,1185.0,1150.0,154464.0,37854.0,-37854.0,0.0,0.5563,-605970.0,15.0,RISE
2019-09-05,1160.0,1160.0,1175.0,1155.0,81005.0,2008.0,-2008.0,0.0,0.5565,-605970.0,5.0,RISE
2019-09-04,1155.0,1135.0,1170.0,1135.0,146007.0,-4238.0,4238.0,0.0,0.5565,-605970.0,10.0,RISE
2019-09-03,1145.0,1135.0,1160.0,1130.0,96156.0,3074.0,-3074.0,0.0,0.5565,-605970.0,15.0,RISE
2019-09-02,1130.0,1130.0,1150.0,1120.0,67983.0,253.0,-253.0,0.0,0.5565,-605970.0,0.0,EVEN
2019-08-30,1130.0,1115.0,1135.0,1115.0,73564.0,-3130.0,3130.0,0.0,0.5565,-605970.0,20.0,RISE
2019-08-29,1110.0,1125.0,1135.0,1095.0,147151.0,76272.0,-76272.0,0.0,0.5565,-605970.0,15.0,FALL
2019-08-28,1125.0,1105.0,1130.0,1105.0,79961.0,-3436.0,3436.0,0.0,0.5579999999999999,-605970.0,10.0,RISE
2019-08-27,1115.0,1095.0,1125.0,1095.0,124322.0,9727.0,-9727.0,0.0,0.5579999999999999,-605970.0,25.0,RISE
2019-08-26,1090.0,1110.0,1125.0,1085.0,193065.0,12255.0,-12255.0,0.0,0.5582,-605970.0,45.0,FALL
2019-08-23,1135.0,1150.0,1155.0,1135.0,155578.0,6620.0,-6619.0,-1.0,0.5584,-605970.0,20.0,FALL
2019-08-22,1155.0,1175.0,1180.0,1140.0,195698.0,25239.0,-25232.0,-7.0,0.5586,-605969.0,15.0,FALL
2019-08-21,1170.0,1180.0,1195.0,1155.0,232271.0,10741.0,-10741.0,0.0,0.5588,-605962.0,10.0,FALL
2019-08-20,1180.0,1150.0,1180.0,1150.0,105467.0,-14653.0,14653.0,0.0,0.5589999999999999,-605962.0,30.0,RISE
2019-08-19,1150.0,1130.0,1150.0,1125.0,138519.0,-17275.0,17275.0,0.0,0.5587,-605962.0,25.0,RISE
2019-08-16,1125.0,1160.0,1160.0,1125.0,107183.0,7426.0,-7426.0,0.0,0.5583,-605962.0,35.0,FALL
2019-08-14,1160.0,1160.0,1185.0,1155.0,133721.0,7928.0,-7928.0,0.0,0.5585,-605962.0,5.0,RISE
2019-08-13,1155.0,1135.0,1160.0,1125.0,100363.0,8049.0,-8050.0,1.0,0.5586,-605962.0,10.0,RISE
2019-08-12,1145.0,1130.0,1165.0,1105.0,322627.0,8392.0,-8393.0,1.0,0.5587,-605963.0,0.0,EVEN
2019-08-09,1145.0,1150.0,1160.0,1135.0,122642.0,-6043.0,6042.0,1.0,0.5589,-605964.0,10.0,RISE
2019-08-08,1135.0,1095.0,1145.0,1080.0,216525.0,-7564.0,7562.0,2.0,0.5588,-605965.0,60.0,RISE
2019-08-07,1075.0,1010.0,1110.0,1010.0,503378.0,-185324.0,185321.0,3.0,0.5586,-605967.0,55.0,RISE
2019-08-06,1020.0,1030.0,1100.0,1000.0,580638.0,-100624.0,100620.0,4.0,0.5548,-605970.0,50.0,FALL
2019-08-05,1070.0,1180.0,1190.0,1070.0,393937.0,43949.0,-43951.0,2.0,0.5527,-605974.0,125.0,FALL
2019-08-02,1195.0,1190.0,1195.0,1130.0,222331.0,-24960.0,24957.0,3.0,0.5536,-605976.0,5.0,RISE
2019-08-01,1190.0,1160.0,1260.0,1145.0,578129.0,64550.0,-64554.0,4.0,0.5531,-605979.0,15.0,RISE
2019-07-31,1175.0,1150.0,1185.0,1120.0,188669.0,-32131.0,32141.0,-10.0,0.5544,-605983.0,10.0,RISE
2019-07-30,1165.0,1090.0,1170.0,1090.0,576538.0,-190695.0,190689.0,6.0,0.5537,-605973.0,75.0,RISE
2019-07-29,1090.0,1195.0,1195.0,1090.0,896545.0,-198837.0,198837.0,0.0,0.5498,-605979.0,95.0,FALL
2019-07-26,1185.0,1205.0,1235.0,1185.0,384582.0,-128498.0,128498.0,0.0,0.5457,-605979.0,35.0,FALL
2019-07-25,1220.0,1270.0,1280.0,1195.0,420115.0,-108421.0,108421.0,0.0,0.5429999999999999,-605979.0,60.0,FALL
