,종가,시가,고가,저가,거래량,개인순매수,외국인순매수,기관순매수,외국인보유,기관보유량,전일비,변화
2020-06-02,392.0,0.0,0.0,0.0,0.0,0,0,0,0.0,-896884,0.0,EVEN
2020-06-01,392.0,0.0,0.0,0.0,0.0,0,0,0,0.0151,-896884,0.0,EVEN
2020-05-22,392.0,0.0,0.0,0.0,0.0,,,,,,,
2020-05-21,,,,,,0.0,0.0,0.0,0.016,-896841.0,0.0,EVEN
2020-05-18,140.0,0.0,0.0,0.0,0.0,,,,,,,
2020-04-23,,,,,,0.0,0.0,0.0,0.0167,-896841.0,0.0,EVEN
2020-04-20,,,,,,0.0,0.0,0.0,0.0166,-896841.0,0.0,EVEN
2020-04-17,,,,,,0.0,0.0,0.0,0.0183,-896841.0,0.0,EVEN
2020-04-01,,,,,,0.0,0.0,0.0,0.0182,-896841.0,0.0,EVEN
2020-03-31,,,,,,0.0,0.0,0.0,0.0197,-896841.0,0.0,EVEN
2020-03-24,,,,,,0.0,0.0,0.0,0.019,-896841.0,0.0,EVEN
2020-03-18,,,,,,0.0,0.0,0.0,0.0205,-896841.0,0.0,EVEN
2020-03-17,,,,,,0.0,0.0,0.0,0.0219,-896841.0,0.0,EVEN
2020-03-13,,,,,,0.0,0.0,0.0,0.0244,-896841.0,0.0,EVEN
2020-02-14,140.0,138.0,142.0,137.0,1696095.0,45560.0,-45559.0,-1.0,0.0244,-896841.0,0.0,EVEN
2020-02-13,140.0,141.0,143.0,138.0,1644550.0,-178922.0,178922.0,0.0,0.0246,-896840.0,1.0,RISE
2020-02-12,139.0,141.0,143.0,138.0,1647864.0,-56847.0,56847.0,0.0,0.0235,-896840.0,4.0,FALL
2020-02-11,143.0,147.0,147.0,139.0,2585905.0,-186067.0,186067.0,0.0,0.0232,-896840.0,3.0,FALL
2020-02-10,146.0,149.0,150.0,141.0,1761442.0,-286211.0,286211.0,0.0,0.022000000000000002,-896840.0,3.0,FALL
2020-02-07,149.0,148.0,152.0,147.0,1076519.0,-172153.0,172153.0,0.0,0.0203,-896840.0,1.0,FALL
2020-02-06,150.0,150.0,153.0,146.0,1096566.0,3619.0,-3619.0,0.0,0.0192,-896840.0,0.0,EVEN
2020-02-05,150.0,153.0,153.0,148.0,1097088.0,-82872.0,82872.0,0.0,0.0192,-896840.0,1.0,FALL
2020-02-04,151.0,143.0,152.0,143.0,2830926.0,19808.0,-19808.0,0.0,0.0187,-896840.0,10.0,RISE
2020-02-03,141.0,147.0,150.0,128.0,5403416.0,-83269.0,80269.0,3000.0,0.0189,-896840.0,9.0,FALL
2020-01-31,150.0,165.0,166.0,149.0,5660600.0,-297774.0,297774.0,0.0,0.0184,-899840.0,15.0,FALL
2020-01-30,165.0,166.0,171.0,164.0,1778868.0,99468.0,-99468.0,0.0,0.0168,-899840.0,3.0,FALL
2020-01-29,168.0,171.0,177.0,166.0,3314570.0,-13560.0,13560.0,0.0,0.0174,-899840.0,5.0,FALL
2020-01-28,173.0,172.0,197.0,167.0,12789121.0,229050.0,-229049.0,-1.0,0.0175,-899840.0,1.0,RISE
2020-01-23,172.0,176.0,178.0,171.0,1462601.0,-16571.0,16571.0,0.0,0.0189,-899839.0,4.0,FALL
2020-01-22,176.0,179.0,180.0,175.0,1647046.0,27233.0,-27233.0,0.0,0.0188,-899839.0,2.0,FALL
2020-01-21,178.0,181.0,184.0,177.0,1463529.0,188626.0,-188626.0,0.0,0.0189,-899839.0,3.0,FALL
2020-01-20,181.0,184.0,185.0,178.0,2091588.0,58358.0,-58359.0,1.0,0.0198,-899839.0,4.0,FALL
2020-01-17,185.0,184.0,187.0,184.0,1012205.0,36351.0,-36351.0,0.0,0.0202,-899840.0,1.0,FALL
2020-01-16,186.0,187.0,188.0,184.0,1120847.0,44202.0,-44202.0,0.0,0.0205,-899840.0,0.0,EVEN
2020-01-15,186.0,187.0,188.0,184.0,1643249.0,64087.0,-64087.0,0.0,0.0207,-899840.0,2.0,FALL
2020-01-14,188.0,190.0,191.0,187.0,1258682.0,-76889.0,76889.0,0.0,0.0211,-899840.0,2.0,FALL
2020-01-13,190.0,190.0,190.0,187.0,1004522.0,29928.0,-29928.0,0.0,0.02,-899840.0,3.0,RISE
2020-01-10,187.0,188.0,189.0,185.0,1209908.0,41011.0,-41011.0,0.0,0.0194,-899840.0,1.0,FALL
2020-01-09,188.0,184.0,190.0,184.0,1235058.0,-41934.0,41934.0,0.0,0.0197,-899840.0,6.0,RISE
2020-01-08,182.0,191.0,192.0,181.0,2818153.0,288207.0,-288207.0,0.0,0.0185,-899840.0,10.0,FALL
2020-01-07,192.0,192.0,194.0,190.0,1554608.0,96621.0,-96621.0,0.0,0.0203,-899840.0,1.0,RISE
2020-01-06,191.0,195.0,195.0,190.0,1949933.0,226572.0,-226572.0,0.0,0.0213,-899840.0,3.0,FALL
2020-01-03,194.0,197.0,197.0,193.0,1987355.0,-37921.0,37921.0,0.0,0.0227,-899840.0,1.0,FALL
2020-01-02,195.0,196.0,198.0,192.0,2786100.0,-17923.0,17923.0,0.0,0.0224,-899840.0,3.0,RISE
2019-12-30,192.0,197.0,198.0,190.0,4586941.0,-100647.0,100647.0,0.0,0.023,-899840.0,5.0,FALL
2019-12-27,197.0,203.0,209.0,195.0,14829880.0,159990.0,-159990.0,0.0,0.0225,-899840.0,11.0,FALL
2019-12-26,208.0,204.0,245.0,195.0,96291684.0,516435.0,-516435.0,0.0,0.023,-899840.0,19.0,RISE
2019-12-24,189.0,194.0,200.0,189.0,1338795.0,128008.0,-128008.0,0.0,0.0264,-899840.0,6.0,FALL
2019-12-23,195.0,197.0,199.0,194.0,871083.0,12987.0,-12987.0,0.0,0.0275,-899840.0,4.0,FALL
2019-12-20,199.0,200.0,205.0,196.0,1156469.0,35338.0,-35338.0,0.0,0.0279,-899840.0,3.0,FALL
2019-12-19,202.0,199.0,206.0,198.0,1671454.0,-143955.0,143955.0,0.0,0.0282,-899840.0,3.0,RISE
2019-12-18,199.0,197.0,200.0,197.0,626323.0,11795.0,-11796.0,1.0,0.0273,-899840.0,3.0,RISE
2019-12-17,196.0,199.0,200.0,196.0,812148.0,89163.0,-89164.0,1.0,0.0274,-899841.0,4.0,FALL
2019-12-16,200.0,197.0,200.0,195.0,1199230.0,18376.0,-18378.0,2.0,0.027999999999999997,-899842.0,1.0,RISE
2019-12-13,199.0,200.0,202.0,198.0,2034356.0,-84347.0,84344.0,3.0,0.0269,-899844.0,1.0,FALL
2019-12-12,200.0,200.0,202.0,198.0,764445.0,-64918.0,64914.0,4.0,0.0263,-899847.0,0.0,EVEN
2019-12-11,200.0,200.0,201.0,198.0,486395.0,15586.0,-15586.0,0.0,0.026000000000000002,-899851.0,0.0,EVEN
2019-12-10,200.0,203.0,203.0,198.0,1410200.0,121794.0,-121795.0,1.0,0.0261,-899851.0,2.0,FALL
2019-12-09,202.0,203.0,204.0,200.0,1092577.0,-13624.0,13624.0,0.0,0.0269,-899852.0,1.0,FALL
2019-12-06,203.0,208.0,210.0,200.0,697750.0,68917.0,-68917.0,0.0,0.0268,-899852.0,6.0,FALL
2019-12-05,209.0,205.0,209.0,198.0,1677655.0,79478.0,-79478.0,0.0,0.0273,-899852.0,5.0,RISE
2019-12-04,204.0,208.0,211.0,203.0,573318.0,32702.0,-32702.0,0.0,0.0278,-899852.0,4.0,FALL
2019-12-03,208.0,208.0,212.0,207.0,422199.0,-48662.0,48662.0,0.0,0.027999999999999997,-899852.0,4.0,FALL
2019-12-02,212.0,215.0,220.0,207.0,763570.0,74648.0,-74648.0,0.0,0.0278,-899852.0,2.0,FALL
2019-11-29,214.0,208.0,225.0,202.0,2678880.0,67968.0,-67968.0,0.0,0.0283,-899852.0,8.0,RISE
2019-11-28,206.0,215.0,217.0,205.0,1432134.0,31899.0,-31899.0,0.0,0.0289,-899852.0,8.0,FALL
2019-11-27,214.0,214.0,221.0,213.0,588054.0,136647.0,-136647.0,0.0,0.0291,-899852.0,3.0,FALL
2019-11-26,217.0,212.0,219.0,211.0,649206.0,102636.0,-102636.0,0.0,0.03,-899852.0,5.0,RISE
2019-11-25,212.0,214.0,217.0,210.0,1085188.0,65091.0,-65091.0,0.0,0.0306,-899852.0,3.0,FALL
2019-11-22,215.0,217.0,220.0,214.0,1143022.0,52571.0,-52571.0,0.0,0.031,-899852.0,4.0,FALL
2019-11-21,219.0,223.0,226.0,218.0,1210669.0,95051.0,-95051.0,0.0,0.0313,-899852.0,4.0,FALL
2019-11-20,223.0,227.0,228.0,220.0,1269122.0,12192.0,-12191.0,-1.0,0.0319,-899852.0,5.0,FALL
2019-11-19,228.0,230.0,232.0,226.0,943570.0,39565.0,-39565.0,0.0,0.032,-899851.0,1.0,FALL
2019-11-18,229.0,230.0,232.0,227.0,1114258.0,-54986.0,54986.0,0.0,0.0322,-899851.0,1.0,FALL
2019-11-15,230.0,237.0,241.0,229.0,2388417.0,176050.0,-176050.0,0.0,0.0319,-899851.0,9.0,FALL
2019-11-14,239.0,248.0,254.0,238.0,4309551.0,2181.0,-2181.0,0.0,0.033,-899851.0,12.0,FALL
2019-11-13,251.0,235.0,280.0,233.0,27681172.0,850239.0,-850239.0,0.0,0.033,-899851.0,16.0,RISE
2019-11-12,235.0,234.0,235.0,230.0,884372.0,-49776.0,49776.0,0.0,0.0383,-899851.0,3.0,RISE
2019-11-11,232.0,235.0,237.0,230.0,850878.0,-75889.0,75889.0,0.0,0.038,-899851.0,3.0,FALL
2019-11-08,235.0,236.0,238.0,234.0,738673.0,-107373.0,107373.0,0.0,0.0375,-899851.0,0.0,EVEN
2019-11-07,235.0,248.0,248.0,235.0,1581998.0,38749.0,-38749.0,0.0,0.0369,-899851.0,7.0,FALL
2019-11-06,242.0,237.0,244.0,237.0,1173965.0,-156412.0,156412.0,0.0,0.0371,-899851.0,5.0,RISE
2019-11-05,237.0,238.0,239.0,233.0,1075356.0,-112334.0,112334.0,0.0,0.0364,-899851.0,3.0,RISE
2019-11-04,234.0,230.0,247.0,228.0,4768462.0,-328604.0,328604.0,0.0,0.0358,-899851.0,4.0,RISE
2019-11-01,230.0,230.0,234.0,227.0,857084.0,-69611.0,69612.0,-1.0,0.0338,-899851.0,1.0,RISE
2019-10-31,229.0,225.0,245.0,225.0,3476177.0,-28685.0,28685.0,0.0,0.0334,-899850.0,1.0,RISE
2019-10-30,228.0,228.0,228.0,223.0,475946.0,-115397.0,115397.0,0.0,0.0332,-899850.0,1.0,RISE
2019-10-29,227.0,229.0,229.0,225.0,402124.0,-51914.0,51914.0,0.0,0.0307,-899850.0,2.0,RISE
2019-10-28,225.0,224.0,227.0,222.0,603692.0,-125539.0,125539.0,0.0,0.0303,-899850.0,0.0,EVEN
2019-10-25,225.0,228.0,231.0,224.0,703843.0,25503.0,-25503.0,0.0,0.0296,-899850.0,4.0,FALL
2019-10-24,229.0,227.0,231.0,225.0,731517.0,-32603.0,32603.0,0.0,0.0297,-899850.0,3.0,RISE
2019-10-23,226.0,228.0,232.0,225.0,843750.0,-77408.0,77408.0,0.0,0.0295,-899850.0,3.0,FALL
2019-10-22,229.0,227.0,231.0,225.0,914084.0,-30313.0,30313.0,0.0,0.0291,-899850.0,2.0,RISE
2019-10-21,227.0,231.0,233.0,221.0,849951.0,-67904.0,67904.0,0.0,0.0288,-899850.0,6.0,FALL
2019-10-18,233.0,236.0,239.0,231.0,995636.0,6401.0,-6401.0,0.0,0.0284,-899850.0,2.0,FALL
2019-10-17,235.0,236.0,236.0,232.0,626389.0,-91266.0,91266.0,0.0,0.0284,-899850.0,1.0,RISE
2019-10-16,234.0,231.0,245.0,228.0,4153663.0,65486.0,-65486.0,0.0,0.0279,-899850.0,4.0,RISE
2019-10-15,230.0,231.0,234.0,227.0,923711.0,-126102.0,126102.0,0.0,0.0283,-899850.0,1.0,FALL
2019-10-14,231.0,233.0,239.0,229.0,970242.0,-55920.0,55921.0,-1.0,0.0275,-899850.0,1.0,FALL
2019-10-11,232.0,231.0,239.0,228.0,2684898.0,62327.0,-62326.0,-1.0,0.0272,-899849.0,3.0,RISE
2019-10-10,229.0,224.0,239.0,224.0,3802890.0,36394.0,-36393.0,-1.0,0.0276,-899848.0,5.0,RISE
2019-10-08,224.0,224.0,233.0,220.0,3012156.0,3481.0,-3479.0,-2.0,0.0278,-899847.0,0.0,EVEN
2019-10-07,224.0,221.0,240.0,218.0,3230775.0,88387.0,-88385.0,-2.0,0.0278,-899845.0,1.0,RISE
2019-10-04,223.0,221.0,241.0,220.0,3950157.0,183330.0,-183327.0,-3.0,0.0283,-899843.0,1.0,RISE
2019-10-02,222.0,223.0,227.0,219.0,1022397.0,-12057.0,12061.0,-4.0,0.0295,-899840.0,3.0,FALL
2019-10-01,225.0,226.0,226.0,219.0,915895.0,-43748.0,43753.0,-5.0,0.0294,-899836.0,0.0,EVEN
2019-09-30,225.0,225.0,230.0,221.0,966577.0,47837.0,-47830.0,-7.0,0.0291,-899831.0,3.0,FALL
2019-09-27,228.0,224.0,233.0,224.0,1226669.0,-19848.0,19850.0,-2.0,0.0294,-899824.0,3.0,RISE
2019-09-26,225.0,225.0,231.0,224.0,1388691.0,-103943.0,103945.0,-2.0,0.0293,-899822.0,1.0,FALL
2019-09-25,226.0,237.0,237.0,225.0,2685976.0,29956.0,-29952.0,-4.0,0.0286,-899820.0,11.0,FALL
2019-09-24,237.0,246.0,246.0,233.0,4335636.0,65297.0,-65306.0,9.0,0.0288,-899816.0,14.0,FALL
2019-09-23,251.0,242.0,290.0,242.0,26810508.0,562085.0,-562085.0,0.0,0.0292,-899825.0,10.0,RISE
2019-09-20,241.0,244.0,248.0,230.0,1651162.0,-43859.0,43860.0,-1.0,0.0327,-899825.0,3.0,FALL
2019-09-19,244.0,236.0,249.0,233.0,2586745.0,-59623.0,59624.0,-1.0,0.0325,-899824.0,14.0,RISE
2019-09-18,230.0,235.0,236.0,228.0,1231475.0,-153292.0,153292.0,0.0,0.0321,-899823.0,4.0,FALL
2019-09-17,234.0,225.0,236.0,223.0,2221892.0,-205353.0,205353.0,0.0,0.0311,-899823.0,8.0,RISE
2019-09-16,226.0,223.0,227.0,222.0,903535.0,-116680.0,116680.0,0.0,0.03,-899823.0,4.0,RISE
2019-09-11,222.0,219.0,225.0,219.0,866033.0,-35907.0,35907.0,0.0,0.0293,-899823.0,1.0,RISE
2019-09-10,221.0,222.0,222.0,217.0,680457.0,-93610.0,93610.0,0.0,0.0291,-899823.0,2.0,RISE
2019-09-09,219.0,214.0,221.0,214.0,1041668.0,-102515.0,102515.0,0.0,0.0285,-899823.0,5.0,RISE
2019-09-06,214.0,218.0,220.0,214.0,717540.0,-69999.0,69998.0,1.0,0.0277,-899823.0,4.0,FALL
2019-09-05,218.0,216.0,219.0,215.0,931721.0,-77741.0,77741.0,0.0,0.0273,-899824.0,3.0,RISE
2019-09-04,215.0,215.0,217.0,211.0,826727.0,-115510.0,115510.0,0.0,0.0268,-899824.0,0.0,EVEN
2019-09-03,215.0,214.0,221.0,212.0,811085.0,-73512.0,73512.0,0.0,0.0261,-899824.0,1.0,RISE
2019-09-02,214.0,213.0,218.0,210.0,669575.0,-91350.0,91351.0,-1.0,0.0256,-899824.0,2.0,RISE
2019-08-30,212.0,209.0,214.0,207.0,774873.0,-66533.0,66534.0,-1.0,0.0251,-899823.0,5.0,RISE
2019-08-29,207.0,208.0,214.0,206.0,954190.0,6583.0,-6581.0,-2.0,0.0247,-899822.0,2.0,FALL
2019-08-28,209.0,209.0,211.0,205.0,589404.0,-74214.0,74216.0,-2.0,0.0245,-899820.0,0.0,EVEN
2019-08-27,209.0,206.0,212.0,205.0,1062578.0,58197.0,-58195.0,-2.0,0.0231,-899818.0,2.0,RISE
2019-08-26,207.0,213.0,214.0,204.0,1788913.0,-42023.0,42026.0,-3.0,0.0237,-899816.0,9.0,FALL
2019-08-23,216.0,219.0,224.0,214.0,1389618.0,-25430.0,25435.0,-5.0,0.0235,-899813.0,4.0,FALL
2019-08-22,220.0,216.0,229.0,213.0,2735816.0,67640.0,-67634.0,-6.0,0.0233,-899808.0,5.0,RISE
2019-08-21,215.0,216.0,217.0,213.0,1322838.0,-89706.0,89705.0,1.0,0.0237,-899802.0,2.0,FALL
2019-08-20,217.0,213.0,217.0,210.0,1549498.0,-108000.0,107999.0,1.0,0.0231,-899803.0,5.0,RISE
2019-08-19,212.0,216.0,219.0,211.0,1842207.0,87175.0,-87176.0,1.0,0.0225,-899804.0,1.0,RISE
2019-08-16,211.0,215.0,219.0,208.0,3050613.0,-60455.0,60453.0,2.0,0.023,-899805.0,12.0,FALL
2019-08-14,223.0,232.0,236.0,219.0,6168097.0,69496.0,-69497.0,1.0,0.0226,-899807.0,8.0,FALL
2019-08-13,231.0,263.0,264.0,230.0,21759051.0,72235.0,-72238.0,3.0,0.0231,-899808.0,32.0,FALL
2019-08-12,263.0,203.0,263.0,203.0,53103090.0,1128070.0,-1128068.0,-2.0,0.0235,-899811.0,60.0,UPPER_LIMIT
2019-08-09,203.0,201.0,209.0,199.0,1747491.0,-25847.0,25842.0,5.0,0.0306,-899809.0,3.0,RISE
2019-08-08,200.0,201.0,206.0,195.0,1301570.0,-59203.0,59195.0,8.0,0.0305,-899814.0,4.0,RISE
2019-08-07,196.0,200.0,202.0,194.0,1234177.0,-37829.0,37820.0,9.0,0.0301,-899822.0,1.0,RISE
2019-08-06,195.0,201.0,206.0,187.0,1987223.0,44386.0,-44400.0,14.0,0.0299,-899831.0,13.0,FALL
2019-08-05,208.0,231.0,233.0,198.0,1875076.0,-22382.0,32375.0,-9993.0,0.0301,-899845.0,25.0,FALL
2019-08-02,233.0,234.0,236.0,231.0,686847.0,-2192.0,2183.0,9.0,0.0299,-889852.0,1.0,FALL
2019-08-01,234.0,235.0,239.0,231.0,723698.0,76103.0,-76114.0,11.0,0.0299,-889861.0,4.0,FALL
2019-07-31,238.0,241.0,242.0,235.0,1105407.0,75461.0,-75425.0,-36.0,0.0304,-889872.0,3.0,FALL
2019-07-30,241.0,242.0,242.0,235.0,878617.0,78659.0,-78676.0,17.0,0.0308,-889836.0,2.0,RISE
2019-07-29,239.0,253.0,257.0,237.0,1988240.0,-7197.0,7197.0,0.0,0.0313,-889853.0,15.0,FALL
2019-07-26,254.0,242.0,266.0,238.0,6624133.0,288312.0,-298312.0,10000.0,0.0313,-889853.0,15.0,RISE
2019-07-25,239.0,235.0,240.0,234.0,870441.0,48917.0,-48917.0,0.0,0.0331,-899853.0,1.0,RISE
2019-07-24,238.0,243.0,244.0,237.0,1753933.0,47103.0,-47103.0,0.0,0.0334,-899853.0,6.0,FALL
2019-07-23,244.0,242.0,248.0,241.0,775932.0,24678.0,-24678.0,0.0,0.0337,-899853.0,0.0,EVEN
2019-07-22,244.0,243.0,246.0,243.0,371604.0,-16351.0,16351.0,0.0,0.0338,-899853.0,1.0,RISE
2019-07-19,243.0,245.0,246.0,240.0,848709.0,74742.0,-74742.0,0.0,0.0337,-899853.0,2.0,FALL
2019-07-18,245.0,242.0,246.0,240.0,576685.0,5455.0,-5455.0,0.0,0.0342,-899853.0,1.0,RISE
2019-07-17,244.0,249.0,250.0,242.0,1008930.0,59026.0,-59026.0,0.0,0.0342,-899853.0,5.0,FALL
2019-07-16,249.0,255.0,257.0,246.0,1424947.0,31705.0,-31705.0,0.0,0.0346,-899853.0,5.0,FALL
2019-07-15,254.0,247.0,295.0,247.0,8993827.0,186924.0,-186924.0,0.0,0.0348,-899853.0,7.0,RISE
2019-07-12,247.0,245.0,247.0,242.0,545474.0,-1673.0,1673.0,0.0,0.036000000000000004,-899853.0,3.0,RISE
2019-07-11,244.0,240.0,245.0,240.0,456862.0,-84713.0,84713.0,0.0,0.0363,-899853.0,4.0,RISE
2019-07-10,240.0,243.0,244.0,240.0,821333.0,-74748.0,74748.0,0.0,0.0358,-899853.0,3.0,FALL
2019-07-09,243.0,248.0,249.0,243.0,525043.0,17427.0,-17427.0,0.0,0.0353,-899853.0,3.0,FALL
2019-07-08,246.0,252.0,253.0,244.0,857259.0,25999.0,-25999.0,0.0,0.0354,-899853.0,6.0,FALL
2019-07-05,252.0,256.0,256.0,246.0,811112.0,-5723.0,5723.0,0.0,0.0356,-899853.0,3.0,FALL
2019-07-04,255.0,258.0,260.0,252.0,581451.0,21944.0,-21944.0,0.0,0.0355,-899853.0,3.0,FALL
2019-07-03,258.0,261.0,262.0,256.0,399169.0,-8324.0,8324.0,0.0,0.0357,-899853.0,2.0,FALL
2019-07-02,260.0,257.0,265.0,255.0,626288.0,5863.0,-5864.0,1.0,0.0356,-899853.0,3.0,RISE
2019-07-01,257.0,258.0,259.0,255.0,472941.0,6139.0,-6139.0,0.0,0.0356,-899854.0,2.0,FALL
2019-06-28,259.0,259.0,263.0,256.0,827055.0,24387.0,-24387.0,0.0,0.0357,-899854.0,0.0,EVEN
2019-06-27,259.0,261.0,264.0,258.0,1024632.0,-5853.0,5854.0,-1.0,0.0357,-899854.0,1.0,FALL
2019-06-26,260.0,262.0,265.0,259.0,737568.0,-41128.0,41129.0,-1.0,0.0357,-899853.0,2.0,FALL
2019-06-25,262.0,263.0,264.0,260.0,962538.0,-62853.0,62853.0,0.0,0.0354,-899852.0,1.0,FALL
2019-06-24,263.0,267.0,271.0,260.0,1270833.0,21583.0,-21583.0,0.0,0.035,-899852.0,4.0,FALL
2019-06-21,267.0,276.0,277.0,266.0,1439229.0,116308.0,-116308.0,0.0,0.0351,-899852.0,7.0,FALL
2019-06-20,274.0,273.0,275.0,265.0,2287727.0,64966.0,-64966.0,0.0,0.0358,-899852.0,1.0,RISE
2019-06-19,273.0,279.0,280.0,270.0,2560582.0,-4248.0,4248.0,0.0,0.0362,-899852.0,5.0,FALL
2019-06-18,278.0,268.0,318.0,268.0,20532229.0,263551.0,-263551.0,0.0,0.0362,-899852.0,8.0,RISE
2019-06-17,270.0,258.0,290.0,258.0,8230332.0,114972.0,-114972.0,0.0,0.0396,-899852.0,11.0,RISE
2019-06-14,259.0,262.0,264.0,258.0,664894.0,-13946.0,13946.0,0.0,0.0403,-899852.0,3.0,FALL
2019-06-13,262.0,267.0,267.0,258.0,930303.0,12214.0,-12214.0,0.0,0.0402,-899852.0,2.0,FALL
2019-06-12,264.0,258.0,267.0,257.0,1754781.0,-6235.0,6235.0,0.0,0.0404,-899852.0,7.0,RISE
2019-06-11,257.0,254.0,259.0,254.0,682567.0,-30952.0,30952.0,0.0,0.0403,-899852.0,3.0,RISE
2019-06-10,254.0,252.0,256.0,251.0,919381.0,-65542.0,65542.0,0.0,0.0401,-899852.0,3.0,RISE
2019-06-07,251.0,252.0,254.0,246.0,1999315.0,-88750.0,88750.0,0.0,0.0397,-899852.0,4.0,FALL
2019-06-05,255.0,256.0,264.0,254.0,1491268.0,-74106.0,74106.0,0.0,0.0391,-899852.0,2.0,RISE
2019-06-04,253.0,251.0,256.0,248.0,733115.0,-72696.0,72696.0,0.0,0.0387,-899852.0,1.0,RISE
2019-06-03,252.0,254.0,257.0,250.0,547544.0,-31232.0,31232.0,0.0,0.0382,-899852.0,2.0,FALL
2019-05-31,254.0,247.0,257.0,242.0,1097828.0,-33605.0,33605.0,0.0,0.038,-899852.0,6.0,RISE
2019-05-30,248.0,249.0,253.0,245.0,869332.0,-86943.0,86943.0,0.0,0.0377,-899852.0,1.0,FALL
2019-05-29,249.0,258.0,258.0,247.0,1398682.0,-19513.0,19513.0,0.0,0.0372,-899852.0,7.0,FALL
2019-05-28,256.0,257.0,259.0,253.0,648557.0,-93463.0,93463.0,0.0,0.0371,-899852.0,1.0,RISE
2019-05-27,255.0,262.0,263.0,252.0,1167196.0,-38652.0,38652.0,0.0,0.0365,-899852.0,4.0,FALL
2019-05-24,259.0,263.0,264.0,257.0,847612.0,-39028.0,39028.0,0.0,0.0362,-899852.0,5.0,FALL
2019-05-23,264.0,266.0,271.0,260.0,1037850.0,-49223.0,49223.0,0.0,0.036000000000000004,-899852.0,0.0,EVEN
2019-05-22,264.0,266.0,270.0,257.0,1091715.0,-35942.0,35942.0,0.0,0.0357,-899852.0,0.0,EVEN
2019-05-21,264.0,264.0,268.0,262.0,1212252.0,-107394.0,107394.0,0.0,0.0355,-899852.0,2.0,FALL
2019-05-20,266.0,272.0,278.0,266.0,1300329.0,29755.0,-29755.0,0.0,0.0348,-899852.0,7.0,FALL
2019-05-17,273.0,274.0,280.0,272.0,752082.0,-80601.0,80601.0,0.0,0.035,-899852.0,1.0,FALL
2019-05-16,274.0,276.0,285.0,272.0,1374195.0,-121320.0,121320.0,0.0,0.0345,-899852.0,10.0,FALL
2019-05-15,284.0,276.0,292.0,276.0,1552201.0,-143666.0,143666.0,0.0,0.0333,-899852.0,8.0,RISE
2019-05-14,276.0,285.0,285.0,269.0,1033846.0,41645.0,-41645.0,0.0,0.0324,-899852.0,9.0,FALL
2019-05-13,285.0,294.0,295.0,284.0,1085127.0,41945.0,-41945.0,0.0,0.0327,-899852.0,9.0,FALL
2019-05-10,294.0,292.0,296.0,290.0,980923.0,13571.0,-13571.0,0.0,0.0329,-899852.0,1.0,RISE
2019-05-09,293.0,305.0,308.0,292.0,1503292.0,67722.0,-67722.0,0.0,0.0332,-899852.0,11.0,FALL
2019-05-08,304.0,294.0,306.0,293.0,1776913.0,4043.0,-4043.0,0.0,0.0338,-899852.0,9.0,RISE
2019-05-07,295.0,298.0,300.0,295.0,947388.0,-75901.0,75901.0,0.0,0.0338,-899852.0,4.0,FALL
2019-05-03,299.0,301.0,303.0,298.0,740685.0,-50356.0,50356.0,0.0,0.0333,-899852.0,1.0,FALL
2019-05-02,300.0,302.0,302.0,292.0,1037724.0,-99736.0,99736.0,0.0,0.033,-899852.0,3.0,RISE
2019-04-30,297.0,294.0,298.0,294.0,1015037.0,-38686.0,38686.0,0.0,0.0324,-899852.0,3.0,RISE
2019-04-29,294.0,294.0,297.0,291.0,989130.0,-67780.0,67780.0,0.0,0.0323,-899852.0,1.0,FALL
2019-04-26,295.0,301.0,301.0,293.0,1815726.0,-57731.0,57731.0,0.0,0.0323,-899852.0,6.0,FALL
2019-04-25,301.0,308.0,309.0,298.0,2264086.0,-37264.0,37264.0,0.0,0.0319,-899852.0,4.0,FALL
2019-04-24,305.0,304.0,311.0,301.0,3595056.0,-196734.0,196734.0,0.0,0.0321,-899852.0,4.0,RISE
2019-04-23,301.0,295.0,306.0,293.0,2241682.0,-288700.0,288700.0,0.0,0.0309,-899852.0,5.0,RISE
2019-04-22,296.0,297.0,301.0,293.0,1507847.0,-180967.0,180967.0,0.0,0.0292,-899852.0,2.0,RISE
2019-04-19,294.0,291.0,297.0,289.0,1182174.0,-206391.0,206391.0,0.0,0.0282,-899852.0,3.0,RISE
2019-04-18,291.0,294.0,297.0,290.0,1812965.0,-205194.0,205194.0,0.0,0.027000000000000003,-899852.0,3.0,FALL
2019-04-17,294.0,288.0,296.0,286.0,1582115.0,-194640.0,194640.0,0.0,0.0257,-899852.0,6.0,RISE
2019-04-16,288.0,294.0,294.0,282.0,2503682.0,-168338.0,168338.0,0.0,0.0245,-899852.0,6.0,FALL
2019-04-15,294.0,298.0,300.0,291.0,2227883.0,-53083.0,53082.0,1.0,0.0235,-899852.0,5.0,FALL
2019-04-12,299.0,300.0,300.0,295.0,2192997.0,-146984.0,146984.0,0.0,0.0231,-899853.0,0.0,EVEN
2019-04-11,299.0,298.0,315.0,295.0,5237746.0,139017.0,-139017.0,0.0,0.0222,-899853.0,4.0,RISE
2019-04-10,295.0,294.0,299.0,292.0,2471368.0,-93722.0,93722.0,0.0,0.0231,-899853.0,1.0,RISE
2019-04-09,294.0,293.0,296.0,287.0,3422256.0,-79375.0,79375.0,0.0,0.0225,-899853.0,2.0,RISE
