,종가,시가,고가,저가,거래량,개인순매수,외국인순매수,기관순매수,외국인보유,기관보유량,전일비,변화
2020-06-02,677.0,673.0,683.0,666.0,505167.0,-91973,91973,0,0.0307,-3940124,5.0,RISE
2020-06-01,672.0,659.0,675.0,652.0,651919.0,-81080,81080,0,0.0296,-3940124,13.0,RISE
2020-05-29,659.0,644.0,662.0,640.0,280375.0,23592,-23592,0,0.0286,-3940124,1.0,RISE
2020-05-28,658.0,674.0,674.0,642.0,418184.0,71175,-71174,-1,0.0289,-3940124,9.0,FALL
2020-05-27,667.0,666.0,676.0,663.0,441009.0,-18803,18803,0,0.0297,-3940123,1.0,RISE
2020-05-26,666.0,680.0,680.0,662.0,391340.0,30538,-30537,-1,0.0298,-3940123,9.0,FALL
2020-05-25,675.0,671.0,682.0,669.0,375483.0,64748,-64749,1,0.0301,-3940122,3.0,RISE
2020-05-22,672.0,679.0,679.0,654.0,783558.0,,,,,,,
2020-05-21,662.0,660.0,680.0,657.0,1027028.0,-170164.0,170164.0,0.0,0.033,-4164694.0,4.0,RISE
2020-05-20,658.0,653.0,667.0,643.0,722679.0,-102824.0,102824.0,0.0,0.031,-4164694.0,0.0,EVEN
2020-05-19,658.0,624.0,680.0,620.0,1681748.0,7050.0,-3859.0,-3191.0,0.0298,-4164694.0,43.0,RISE
2020-05-18,615.0,624.0,629.0,611.0,335456.0,-3906.0,3906.0,0.0,0.0298,-4161503.0,9.0,FALL
2020-05-15,624.0,627.0,628.0,610.0,375410.0,3184.0,-3184.0,0.0,0.0298,-4161503.0,2.0,RISE
2020-05-14,622.0,640.0,645.0,622.0,387016.0,76231.0,-76231.0,0.0,0.0308,-4161503.0,19.0,FALL
2020-05-13,641.0,640.0,642.0,627.0,368648.0,139363.0,-139363.0,0.0,0.0317,-4161503.0,6.0,FALL
2020-05-12,647.0,660.0,665.0,637.0,452042.0,94162.0,-94162.0,0.0,0.0334,-4161503.0,16.0,FALL
2020-05-11,663.0,686.0,686.0,660.0,361980.0,59554.0,-59554.0,0.0,0.0345,-4161503.0,17.0,FALL
2020-05-08,680.0,666.0,688.0,666.0,1131089.0,-57052.0,57052.0,0.0,0.0352,-4161503.0,25.0,RISE
2020-05-07,655.0,634.0,661.0,633.0,722164.0,-55711.0,54132.0,1579.0,0.0345,-4161503.0,22.0,RISE
2020-05-06,633.0,620.0,637.0,620.0,492353.0,-41861.0,40249.0,1612.0,0.0339,-4163082.0,13.0,RISE
2020-05-04,620.0,627.0,628.0,612.0,198749.0,18674.0,-18674.0,0.0,0.0334,-4164694.0,2.0,RISE
2020-04-29,618.0,617.0,625.0,616.0,172964.0,4369.0,-4368.0,-1.0,0.0336,-4164694.0,1.0,RISE
2020-04-28,617.0,639.0,639.0,615.0,416593.0,1346.0,-1345.0,-1.0,0.0338,-4164693.0,10.0,FALL
2020-04-27,627.0,621.0,635.0,617.0,235961.0,-43277.0,43277.0,0.0,0.0338,-4164692.0,12.0,RISE
2020-04-24,615.0,620.0,633.0,611.0,334378.0,38282.0,-38282.0,0.0,0.0333,-4164692.0,7.0,FALL
2020-04-23,622.0,622.0,640.0,617.0,470883.0,-101932.0,101932.0,0.0,0.0338,-4164692.0,4.0,RISE
2020-04-22,618.0,615.0,618.0,598.0,228732.0,-19834.0,19834.0,0.0,0.0326,-4164692.0,2.0,RISE
2020-04-21,616.0,639.0,639.0,590.0,1011067.0,640.0,-640.0,0.0,0.0324,-4164692.0,23.0,FALL
2020-04-20,639.0,640.0,647.0,631.0,430030.0,-4451.0,4451.0,0.0,0.0324,-4164692.0,0.0,EVEN
2020-04-17,639.0,643.0,644.0,626.0,417247.0,-25004.0,25004.0,0.0,0.0324,-4164692.0,16.0,RISE
2020-04-16,623.0,606.0,627.0,605.0,734836.0,-16370.0,16370.0,0.0,0.0321,-4164692.0,19.0,RISE
2020-04-14,604.0,593.0,610.0,592.0,221868.0,-48847.0,48847.0,0.0,0.0319,-4164692.0,16.0,RISE
2020-04-13,588.0,610.0,610.0,586.0,427828.0,39655.0,-39655.0,0.0,0.0313,-4164692.0,23.0,FALL
2020-04-10,611.0,632.0,632.0,585.0,472651.0,112849.0,-112849.0,0.0,0.0318,-4164692.0,9.0,FALL
2020-04-09,620.0,600.0,620.0,600.0,896149.0,74364.0,-74364.0,0.0,0.0331,-4164692.0,30.0,RISE
2020-04-08,590.0,586.0,604.0,569.0,702819.0,-4421.0,4421.0,0.0,0.034,-4164692.0,2.0,RISE
2020-04-07,588.0,565.0,591.0,550.0,1108204.0,-72571.0,72571.0,0.0,0.0339,-4164692.0,47.0,RISE
2020-04-06,541.0,539.0,541.0,522.0,640442.0,-34452.0,34452.0,0.0,0.0331,-4164692.0,21.0,RISE
2020-04-03,520.0,515.0,527.0,510.0,423507.0,29257.0,-29257.0,0.0,0.0327,-4164692.0,5.0,RISE
2020-04-02,515.0,504.0,517.0,498.0,233318.0,12040.0,-12039.0,-1.0,0.033,-4164692.0,11.0,RISE
2020-04-01,504.0,505.0,533.0,498.0,750603.0,69967.0,-69967.0,0.0,0.0335,-4164691.0,1.0,FALL
2020-03-31,505.0,512.0,518.0,497.0,788622.0,75278.0,-75278.0,0.0,0.0344,-4164691.0,13.0,RISE
2020-03-30,492.0,490.0,495.0,476.0,596951.0,152541.0,-152541.0,0.0,0.0353,-4164691.0,8.0,FALL
2020-03-27,500.0,521.0,526.0,484.0,633106.0,108796.0,-108796.0,0.0,0.0371,-4164691.0,8.0,FALL
2020-03-26,508.0,482.0,520.0,478.0,739371.0,33567.0,-33567.0,0.0,0.0384,-4164691.0,31.0,RISE
2020-03-25,477.0,447.0,479.0,447.0,594200.0,-16000.0,16000.0,0.0,0.0388,-4164691.0,37.0,RISE
2020-03-24,440.0,417.0,440.0,413.0,429226.0,-51186.0,51186.0,0.0,0.0386,-4164691.0,27.0,RISE
2020-03-23,413.0,402.0,426.0,397.0,715582.0,-48579.0,48579.0,0.0,0.0385,-4164691.0,17.0,FALL
2020-03-20,430.0,394.0,439.0,393.0,1654316.0,-115478.0,221985.0,-106507.0,0.0387,-4164691.0,36.0,RISE
2020-03-19,394.0,472.0,488.0,374.0,1964480.0,-23475.0,63623.0,-40148.0,0.036000000000000004,-4058184.0,76.0,FALL
2020-03-18,470.0,509.0,520.0,470.0,667478.0,139979.0,-75979.0,-64000.0,0.0353,-4018036.0,35.0,FALL
2020-03-17,505.0,465.0,511.0,460.0,1112019.0,-239788.0,239788.0,0.0,0.0362,-3954036.0,1.0,RISE
2020-03-16,504.0,538.0,578.0,504.0,1275341.0,-273417.0,273415.0,2.0,0.0333,-3954036.0,33.0,FALL
2020-03-13,537.0,551.0,551.0,456.0,2185626.0,-81735.0,81735.0,0.0,0.0303,-3954038.0,58.0,FALL
2020-03-12,595.0,651.0,653.0,586.0,1246857.0,158467.0,-119467.0,-39000.0,0.0294,-3954038.0,74.0,FALL
2020-03-11,669.0,680.0,685.0,643.0,686079.0,133785.0,-45785.0,-88000.0,0.0308,-3915038.0,11.0,FALL
2020-03-10,680.0,683.0,690.0,658.0,652161.0,168481.0,-24762.0,-143719.0,0.0306,-3827038.0,11.0,FALL
2020-03-09,691.0,720.0,723.0,684.0,502985.0,191929.0,-91648.0,-100281.0,0.0309,-3683319.0,36.0,FALL
2020-03-06,727.0,748.0,750.0,720.0,407455.0,75418.0,4582.0,-80000.0,0.032,-3583038.0,24.0,FALL
2020-03-05,751.0,746.0,759.0,746.0,484000.0,-9642.0,159642.0,-150000.0,0.032,-3503038.0,8.0,RISE
2020-03-04,743.0,730.0,746.0,722.0,374453.0,33398.0,116602.0,-150000.0,0.0301,-3353038.0,17.0,RISE
2020-03-03,726.0,721.0,753.0,721.0,551587.0,53629.0,96371.0,-150000.0,0.0287,-3203038.0,11.0,RISE
2020-03-02,715.0,690.0,717.0,688.0,560396.0,-33712.0,114627.0,-80915.0,0.0275,-3053038.0,27.0,RISE
2020-02-28,688.0,717.0,730.0,680.0,830935.0,-29186.0,29186.0,0.0,0.0262,-2972123.0,44.0,FALL
2020-02-27,732.0,751.0,763.0,729.0,398114.0,124275.0,-124269.0,-6.0,0.0258,-2972123.0,18.0,FALL
2020-02-26,750.0,760.0,764.0,743.0,355478.0,-5783.0,5782.0,1.0,0.0273,-2972117.0,18.0,FALL
2020-02-25,768.0,745.0,775.0,741.0,401186.0,-42528.0,42528.0,0.0,0.0272,-2972118.0,18.0,RISE
2020-02-24,750.0,776.0,776.0,750.0,608343.0,17732.0,-17731.0,-1.0,0.0271,-2972118.0,37.0,FALL
2020-02-21,787.0,807.0,807.0,786.0,496703.0,97061.0,-97061.0,0.0,0.0271,-2972117.0,19.0,FALL
2020-02-20,806.0,822.0,832.0,804.0,428777.0,12987.0,-12988.0,1.0,0.0283,-2972117.0,18.0,FALL
2020-02-19,824.0,833.0,841.0,821.0,152777.0,35369.0,-35369.0,0.0,0.0285,-2972118.0,9.0,FALL
2020-02-18,833.0,839.0,845.0,830.0,247992.0,102.0,-102.0,0.0,0.0289,-2972118.0,9.0,FALL
2020-02-17,842.0,850.0,850.0,837.0,414696.0,-36223.0,36223.0,0.0,0.0289,-2972118.0,10.0,FALL
2020-02-14,852.0,863.0,863.0,849.0,299314.0,-22526.0,27611.0,-5085.0,0.0285,-2972118.0,4.0,FALL
2020-02-13,856.0,862.0,870.0,854.0,439626.0,25868.0,-8368.0,-17500.0,0.0281,-2967033.0,3.0,FALL
2020-02-12,859.0,859.0,870.0,856.0,741719.0,-39881.0,121881.0,-82000.0,0.0282,-2949533.0,1.0,RISE
2020-02-11,858.0,855.0,865.0,853.0,639692.0,-48126.0,102266.0,-54140.0,0.0267,-2867533.0,3.0,FALL
2020-02-10,861.0,862.0,875.0,855.0,716253.0,174711.0,7149.0,-181860.0,0.0255,-2813393.0,9.0,RISE
2020-02-07,852.0,887.0,901.0,850.0,1664193.0,-3463.0,-1096.0,4559.0,0.0259,-2631533.0,38.0,FALL
2020-02-06,890.0,885.0,1030.0,879.0,13079932.0,464889.0,-499889.0,35000.0,0.0259,-2636092.0,46.0,RISE
2020-02-05,844.0,820.0,848.0,820.0,309923.0,-23476.0,23476.0,0.0,0.0321,-2671092.0,24.0,RISE
2020-02-04,820.0,794.0,821.0,794.0,85107.0,-2189.0,2189.0,0.0,0.0318,-2671092.0,27.0,RISE
2020-02-03,793.0,791.0,803.0,771.0,245985.0,19869.0,-19869.0,0.0,0.0317,-2671092.0,0.0,EVEN
2020-01-31,793.0,839.0,842.0,793.0,469525.0,33148.0,-33148.0,0.0,0.032,-2671092.0,41.0,FALL
2020-01-30,834.0,863.0,868.0,800.0,386187.0,70299.0,-70299.0,0.0,0.0324,-2671092.0,29.0,FALL
2020-01-29,863.0,872.0,872.0,854.0,163602.0,17646.0,-17646.0,0.0,0.0333,-2671092.0,1.0,FALL
2020-01-28,864.0,870.0,893.0,852.0,207331.0,50132.0,-50131.0,-1.0,0.0335,-2671092.0,30.0,FALL
2020-01-23,894.0,905.0,905.0,887.0,92094.0,11346.0,-11346.0,0.0,0.0337,-2671091.0,6.0,FALL
2020-01-22,900.0,884.0,905.0,884.0,209522.0,-32195.0,32195.0,0.0,0.0339,-2671091.0,13.0,RISE
2020-01-21,887.0,900.0,909.0,884.0,146388.0,-1803.0,1803.0,0.0,0.0335,-2671091.0,15.0,FALL
2020-01-20,902.0,918.0,918.0,901.0,196755.0,-13007.0,13006.0,1.0,0.0335,-2671091.0,10.0,FALL
2020-01-17,912.0,921.0,924.0,906.0,214414.0,-55440.0,55440.0,0.0,0.0333,-2671092.0,11.0,FALL
2020-01-16,923.0,930.0,934.0,919.0,167159.0,45507.0,-45507.0,0.0,0.0326,-2671092.0,6.0,FALL
2020-01-15,929.0,920.0,948.0,905.0,851431.0,40098.0,-40098.0,0.0,0.0332,-2671092.0,22.0,RISE
2020-01-14,907.0,915.0,915.0,901.0,152725.0,-16573.0,16573.0,0.0,0.0337,-2671092.0,2.0,FALL
2020-01-13,909.0,894.0,914.0,887.0,293587.0,-93998.0,93998.0,0.0,0.0325,-2671092.0,15.0,RISE
2020-01-10,894.0,869.0,895.0,869.0,420837.0,-28973.0,28972.0,1.0,0.0313,-2671092.0,23.0,RISE
2020-01-09,871.0,845.0,871.0,845.0,311752.0,-107546.0,107546.0,0.0,0.0309,-2671093.0,41.0,RISE
2020-01-08,830.0,882.0,882.0,825.0,519305.0,132495.0,-132495.0,0.0,0.0321,-2671093.0,43.0,FALL
2020-01-07,873.0,873.0,884.0,872.0,95910.0,-12389.0,12389.0,0.0,0.0339,-2671093.0,0.0,EVEN
2020-01-06,873.0,876.0,878.0,864.0,182075.0,-23222.0,23222.0,0.0,0.0338,-2671093.0,7.0,FALL
2020-01-03,880.0,887.0,887.0,876.0,186087.0,-14671.0,14671.0,0.0,0.0334,-2671093.0,2.0,FALL
2020-01-02,882.0,874.0,887.0,873.0,196581.0,-59225.0,59225.0,0.0,0.0332,-2671093.0,10.0,RISE
2019-12-30,872.0,862.0,878.0,858.0,152467.0,-5622.0,5622.0,0.0,0.0324,-2671093.0,10.0,RISE
2019-12-27,862.0,853.0,866.0,848.0,189616.0,-47934.0,47934.0,0.0,0.0323,-2671093.0,13.0,RISE
2019-12-26,849.0,842.0,852.0,842.0,145864.0,-23372.0,23372.0,0.0,0.0317,-2671093.0,7.0,RISE
2019-12-24,842.0,865.0,879.0,837.0,304116.0,-9486.0,9486.0,0.0,0.0314,-2671093.0,26.0,FALL
2019-12-23,868.0,888.0,888.0,866.0,194303.0,16589.0,-16589.0,0.0,0.0313,-2671093.0,7.0,FALL
2019-12-20,875.0,876.0,882.0,865.0,65034.0,5706.0,-5706.0,0.0,0.0316,-2671093.0,1.0,FALL
2019-12-19,876.0,881.0,883.0,865.0,226139.0,-21380.0,21380.0,0.0,0.032,-2671093.0,5.0,FALL
2019-12-18,881.0,883.0,890.0,877.0,140742.0,-7207.0,7207.0,0.0,0.0317,-2671093.0,2.0,FALL
2019-12-17,883.0,888.0,896.0,882.0,137747.0,23498.0,-23498.0,0.0,0.0316,-2671093.0,5.0,FALL
2019-12-16,888.0,885.0,895.0,876.0,329472.0,17361.0,-17361.0,0.0,0.032,-2671093.0,18.0,RISE
2019-12-13,870.0,859.0,872.0,859.0,162492.0,12038.0,-12038.0,0.0,0.0322,-2671093.0,10.0,RISE
2019-12-12,860.0,842.0,866.0,842.0,150726.0,-24064.0,24058.0,6.0,0.0324,-2671093.0,14.0,RISE
2019-12-11,846.0,845.0,851.0,840.0,131678.0,7744.0,-7744.0,0.0,0.032,-2671099.0,3.0,RISE
2019-12-10,843.0,843.0,850.0,839.0,120596.0,-3785.0,3785.0,0.0,0.0321,-2671099.0,0.0,EVEN
2019-12-09,843.0,840.0,856.0,837.0,168256.0,-13562.0,13562.0,0.0,0.0321,-2671099.0,4.0,FALL
2019-12-06,847.0,849.0,859.0,841.0,310502.0,-51960.0,51960.0,0.0,0.0319,-2671099.0,4.0,FALL
2019-12-05,851.0,874.0,887.0,851.0,259942.0,41370.0,-41370.0,0.0,0.0312,-2671099.0,17.0,FALL
2019-12-04,868.0,862.0,877.0,859.0,181880.0,5759.0,-5759.0,0.0,0.0318,-2671099.0,6.0,RISE
2019-12-03,862.0,863.0,874.0,860.0,289114.0,13819.0,-13819.0,0.0,0.0319,-2671099.0,14.0,FALL
2019-12-02,876.0,882.0,893.0,875.0,96216.0,10624.0,-10624.0,0.0,0.032,-2671099.0,7.0,FALL
2019-11-29,883.0,888.0,897.0,882.0,188442.0,56118.0,-56118.0,0.0,0.0322,-2671099.0,10.0,FALL
2019-11-28,893.0,902.0,910.0,886.0,199658.0,6589.0,-6589.0,0.0,0.033,-2671099.0,9.0,FALL
2019-11-27,902.0,925.0,926.0,899.0,161897.0,18296.0,-18295.0,-1.0,0.033,-2671099.0,14.0,FALL
2019-11-26,916.0,904.0,916.0,892.0,151210.0,-9900.0,9900.0,0.0,0.0333,-2671098.0,20.0,RISE
2019-11-25,896.0,890.0,904.0,890.0,84690.0,7808.0,-7808.0,0.0,0.0332,-2671098.0,1.0,RISE
2019-11-22,895.0,892.0,904.0,856.0,287619.0,11010.0,-11010.0,0.0,0.0333,-2671098.0,1.0,FALL
2019-11-21,896.0,905.0,925.0,891.0,495793.0,117136.0,-117136.0,0.0,0.0335,-2671098.0,21.0,FALL
2019-11-20,917.0,942.0,950.0,915.0,395807.0,60007.0,-60007.0,0.0,0.0351,-2671098.0,25.0,FALL
2019-11-19,942.0,948.0,954.0,942.0,162449.0,19429.0,-19429.0,0.0,0.0359,-2671098.0,13.0,FALL
2019-11-18,955.0,956.0,960.0,947.0,199619.0,-11043.0,11043.0,0.0,0.0362,-2671098.0,2.0,RISE
2019-11-15,953.0,955.0,961.0,946.0,186150.0,-18279.0,18279.0,0.0,0.036000000000000004,-2671098.0,3.0,FALL
2019-11-14,956.0,959.0,969.0,954.0,296525.0,-64739.0,64739.0,0.0,0.0358,-2671098.0,4.0,FALL
2019-11-13,960.0,960.0,963.0,950.0,245759.0,-24027.0,24027.0,0.0,0.0349,-2671098.0,12.0,RISE
2019-11-12,948.0,959.0,959.0,941.0,225429.0,30320.0,-30320.0,0.0,0.0346,-2671098.0,7.0,FALL
2019-11-11,955.0,939.0,967.0,933.0,436148.0,-54255.0,54255.0,0.0,0.035,-2671098.0,22.0,RISE
2019-11-08,933.0,932.0,940.0,929.0,209769.0,-11181.0,11181.0,0.0,0.0343,-2671098.0,2.0,RISE
2019-11-07,931.0,934.0,940.0,927.0,213799.0,-18840.0,18840.0,0.0,0.0341,-2671098.0,4.0,FALL
2019-11-06,935.0,938.0,944.0,929.0,271772.0,-39030.0,39030.0,0.0,0.0339,-2671098.0,0.0,EVEN
2019-11-05,935.0,941.0,954.0,935.0,372647.0,-24258.0,24258.0,0.0,0.0333,-2671098.0,15.0,FALL
2019-11-04,950.0,961.0,983.0,946.0,576476.0,-11769.0,11769.0,0.0,0.033,-2671098.0,8.0,RISE
2019-11-01,942.0,931.0,969.0,927.0,678101.0,40474.0,-40474.0,0.0,0.0327,-2671098.0,11.0,RISE
2019-10-31,931.0,922.0,932.0,922.0,164496.0,9512.0,-9512.0,0.0,0.0333,-2671098.0,10.0,RISE
2019-10-30,921.0,930.0,933.0,921.0,264003.0,19521.0,-19521.0,0.0,0.0334,-2671098.0,9.0,FALL
2019-10-29,930.0,944.0,944.0,924.0,332185.0,-14741.0,14741.0,0.0,0.0337,-2671098.0,13.0,FALL
2019-10-28,943.0,959.0,994.0,932.0,571798.0,64496.0,-64496.0,0.0,0.0335,-2671098.0,21.0,RISE
2019-10-25,922.0,926.0,930.0,917.0,163309.0,8145.0,-8145.0,0.0,0.0344,-2671098.0,10.0,FALL
2019-10-24,932.0,938.0,949.0,924.0,199023.0,23452.0,-23452.0,0.0,0.0346,-2671098.0,6.0,FALL
2019-10-23,938.0,953.0,958.0,938.0,335669.0,61348.0,-61348.0,0.0,0.0349,-2671098.0,21.0,FALL
2019-10-22,959.0,978.0,980.0,951.0,144605.0,17703.0,-17703.0,0.0,0.0357,-2671098.0,4.0,FALL
2019-10-21,963.0,985.0,996.0,961.0,197429.0,46158.0,-46158.0,0.0,0.0359,-2671098.0,22.0,FALL
2019-10-18,985.0,994.0,1005.0,982.0,203984.0,33872.0,-29872.0,-4000.0,0.0365,-2671098.0,2.0,FALL
2019-10-17,987.0,972.0,993.0,972.0,149336.0,-4763.0,4763.0,0.0,0.0369,-2667098.0,7.0,RISE
2019-10-16,980.0,958.0,981.0,958.0,209378.0,-22015.0,22015.0,0.0,0.0369,-2667098.0,22.0,RISE
2019-10-15,958.0,946.0,958.0,946.0,145558.0,-30271.0,30272.0,-1.0,0.0366,-2667098.0,10.0,RISE
2019-10-14,948.0,952.0,959.0,942.0,175860.0,-41698.0,41698.0,0.0,0.0362,-2667097.0,1.0,RISE
2019-10-11,947.0,970.0,970.0,947.0,195624.0,28863.0,-28863.0,0.0,0.0356,-2667097.0,14.0,FALL
2019-10-10,961.0,962.0,976.0,954.0,135799.0,-6107.0,6107.0,0.0,0.0359,-2667097.0,1.0,FALL
2019-10-08,962.0,950.0,967.0,934.0,490749.0,-157209.0,155209.0,2000.0,0.0357,-2667097.0,12.0,RISE
2019-10-07,950.0,971.0,977.0,940.0,455750.0,21782.0,-35781.0,13999.0,0.0337,-2669097.0,27.0,FALL
2019-10-04,977.0,1000.0,1000.0,976.0,276447.0,46316.0,-46315.0,-1.0,0.0342,-2683096.0,19.0,FALL
2019-10-02,996.0,985.0,1010.0,985.0,183614.0,-44071.0,44073.0,-2.0,0.0348,-2683095.0,3.0,FALL
2019-10-01,999.0,1045.0,1045.0,976.0,911424.0,145063.0,-145061.0,-2.0,0.0342,-2683093.0,16.0,RISE
2019-09-30,983.0,983.0,994.0,965.0,262222.0,50830.0,-50827.0,-3.0,0.0372,-2683091.0,0.0,EVEN
2019-09-27,983.0,985.0,997.0,970.0,310678.0,-32571.0,32572.0,-1.0,0.0379,-2683088.0,16.0,FALL
2019-09-26,999.0,1000.0,1010.0,995.0,361674.0,-27921.0,27922.0,-1.0,0.0374,-2683087.0,2.0,RISE
2019-09-25,997.0,1015.0,1020.0,994.0,670792.0,94569.0,-94568.0,-1.0,0.037000000000000005,-2683086.0,33.0,FALL
2019-09-24,1030.0,1020.0,1035.0,1020.0,202756.0,-48893.0,48891.0,2.0,0.0377,-2683085.0,5.0,FALL
2019-09-23,1035.0,1035.0,1035.0,1020.0,281100.0,-37127.0,37127.0,0.0,0.0371,-2683087.0,10.0,RISE
2019-09-20,1025.0,1035.0,1040.0,1015.0,377081.0,-107370.0,107370.0,0.0,0.0373,-2683087.0,0.0,EVEN
2019-09-19,1025.0,1020.0,1035.0,1015.0,274736.0,-93208.0,93209.0,-1.0,0.0358,-2683087.0,15.0,RISE
2019-09-18,1010.0,1025.0,1030.0,1005.0,235053.0,-82418.0,82418.0,0.0,0.0348,-2683086.0,10.0,FALL
2019-09-17,1020.0,1030.0,1035.0,1000.0,291153.0,-36261.0,36261.0,0.0,0.0336,-2683086.0,5.0,FALL
2019-09-16,1025.0,1050.0,1050.0,1000.0,369176.0,-28506.0,28505.0,1.0,0.0332,-2683086.0,20.0,FALL
2019-09-11,1045.0,1025.0,1055.0,1020.0,392342.0,35481.0,-34481.0,-1000.0,0.0327,-2683087.0,5.0,RISE
2019-09-10,1040.0,1005.0,1045.0,1005.0,739639.0,104857.0,-101857.0,-3000.0,0.0331,-2682087.0,35.0,RISE
2019-09-09,1005.0,992.0,1025.0,990.0,723118.0,86481.0,-85481.0,-1000.0,0.0345,-2679087.0,13.0,RISE
2019-09-06,992.0,1005.0,1005.0,989.0,247275.0,29379.0,-29379.0,0.0,0.0357,-2678087.0,8.0,FALL
2019-09-05,1000.0,988.0,1025.0,984.0,783911.0,-15972.0,15972.0,0.0,0.0361,-2678087.0,12.0,RISE
2019-09-04,988.0,959.0,994.0,958.0,440891.0,-101364.0,101364.0,0.0,0.0359,-2678087.0,24.0,RISE
2019-09-03,964.0,961.0,968.0,950.0,289079.0,-23737.0,23737.0,0.0,0.0346,-2678087.0,8.0,RISE
2019-09-02,956.0,927.0,960.0,927.0,359214.0,-122916.0,122916.0,0.0,0.0342,-2678087.0,23.0,RISE
2019-08-30,933.0,919.0,945.0,914.0,215368.0,-74804.0,74804.0,0.0,0.0325,-2678087.0,19.0,RISE
2019-08-29,914.0,932.0,938.0,913.0,222287.0,60138.0,-60137.0,-1.0,0.0315,-2678087.0,21.0,FALL
2019-08-28,935.0,934.0,943.0,930.0,235707.0,-47787.0,47787.0,0.0,0.0323,-2678086.0,2.0,FALL
2019-08-27,937.0,945.0,969.0,930.0,662258.0,11363.0,-11363.0,0.0,0.0317,-2678086.0,27.0,RISE
2019-08-26,910.0,919.0,936.0,909.0,249729.0,20642.0,-20642.0,0.0,0.032,-2678086.0,36.0,FALL
2019-08-23,946.0,956.0,959.0,943.0,229010.0,-39024.0,39024.0,0.0,0.0322,-2678086.0,12.0,FALL
2019-08-22,958.0,977.0,1000.0,954.0,1062015.0,234992.0,-234982.0,-10.0,0.0319,-2678086.0,2.0,RISE
2019-08-21,956.0,951.0,965.0,936.0,376673.0,-69407.0,69407.0,0.0,0.0351,-2678076.0,1.0,RISE
2019-08-20,955.0,950.0,958.0,939.0,191902.0,-17711.0,17711.0,0.0,0.0342,-2678076.0,17.0,RISE
2019-08-19,938.0,904.0,955.0,904.0,421160.0,-96705.0,96705.0,0.0,0.0341,-2678076.0,34.0,RISE
2019-08-16,904.0,916.0,928.0,900.0,320006.0,-40952.0,40952.0,0.0,0.0328,-2678076.0,23.0,FALL
2019-08-14,927.0,930.0,938.0,920.0,168588.0,-18269.0,18269.0,0.0,0.0323,-2678076.0,1.0,FALL
2019-08-13,928.0,921.0,939.0,915.0,156051.0,-15230.0,15230.0,0.0,0.0321,-2678076.0,4.0,FALL
2019-08-12,932.0,915.0,932.0,903.0,316416.0,-46433.0,46432.0,1.0,0.0319,-2678076.0,2.0,RISE
2019-08-09,930.0,904.0,930.0,904.0,399600.0,-571.0,570.0,1.0,0.0312,-2678077.0,21.0,RISE
2019-08-08,909.0,845.0,913.0,845.0,653631.0,-123484.0,123481.0,3.0,0.0315,-2678078.0,65.0,RISE
2019-08-07,844.0,800.0,844.0,800.0,722429.0,-286505.0,286502.0,3.0,0.0299,-2678081.0,37.0,RISE
2019-08-06,807.0,809.0,852.0,804.0,1157891.0,-154822.0,154818.0,4.0,0.026000000000000002,-2678084.0,29.0,FALL
2019-08-05,836.0,902.0,919.0,836.0,780890.0,32327.0,-32328.0,1.0,0.024,-2678088.0,83.0,FALL
2019-08-02,919.0,902.0,928.0,894.0,278786.0,-31641.0,31641.0,0.0,0.0244,-2678089.0,2.0,RISE
2019-08-01,917.0,932.0,947.0,902.0,309294.0,-35535.0,35534.0,1.0,0.024,-2678089.0,15.0,FALL
2019-07-31,932.0,920.0,941.0,901.0,481215.0,-99664.0,99662.0,2.0,0.0235,-2678090.0,2.0,RISE
2019-07-30,930.0,859.0,960.0,859.0,1192830.0,-188631.0,188623.0,8.0,0.0226,-2678092.0,48.0,RISE
2019-07-29,882.0,965.0,974.0,881.0,1576828.0,-85312.0,85312.0,0.0,0.02,-2678100.0,93.0,FALL
2019-07-26,975.0,997.0,1005.0,974.0,850345.0,85089.0,-85089.0,0.0,0.0185,-2678100.0,30.0,FALL
2019-07-25,1005.0,1010.0,1025.0,996.0,558292.0,-43733.0,43733.0,0.0,0.0196,-2678100.0,10.0,FALL
2019-07-24,1015.0,1040.0,1040.0,1010.0,361155.0,42465.0,-42465.0,0.0,0.0189,-2678100.0,15.0,FALL
2019-07-23,1030.0,1040.0,1045.0,1025.0,315964.0,-32953.0,21298.0,11655.0,0.0194,-2678100.0,15.0,FALL
2019-07-22,1045.0,1035.0,1045.0,1025.0,157804.0,-49397.0,49397.0,0.0,0.0192,-2689755.0,10.0,RISE
2019-07-19,1035.0,1010.0,1040.0,1010.0,417170.0,-110384.0,110384.0,0.0,0.0184,-2689755.0,20.0,RISE
2019-07-18,1015.0,1015.0,1030.0,1005.0,518960.0,-85687.0,85687.0,0.0,0.0169,-2689755.0,10.0,FALL
2019-07-17,1025.0,1040.0,1045.0,1015.0,755825.0,88654.0,-88654.0,0.0,0.0157,-2689755.0,20.0,FALL
2019-07-16,1045.0,1045.0,1060.0,1035.0,405376.0,-2217.0,2217.0,0.0,0.0169,-2689755.0,5.0,RISE
2019-07-15,1040.0,1065.0,1075.0,1035.0,424279.0,72611.0,-72611.0,0.0,0.0168,-2689755.0,30.0,FALL
2019-07-12,1070.0,1070.0,1075.0,1055.0,337720.0,16287.0,-16287.0,0.0,0.0178,-2689755.0,0.0,EVEN
