,종가,시가,고가,저가,거래량,개인순매수,외국인순매수,기관순매수,외국인보유,기관보유량,전일비,변화
2020-06-02,8540.0,8820.0,8820.0,8500.0,61213.0,739,1401,-2140,0.0114,-1364,270.0,FALL
2020-06-01,8810.0,9700.0,9800.0,8750.0,181403.0,80,-1749,1669,0.0095,776,540.0,RISE
2020-05-29,8270.0,8500.0,8500.0,8270.0,17841.0,-721,427,294,0.0119,-893,10.0,RISE
2020-05-28,8260.0,8490.0,8620.0,8260.0,11614.0,449,4,-453,0.0113,-1187,190.0,FALL
2020-05-27,8450.0,8480.0,8480.0,8250.0,9735.0,-451,-179,630,0.0113,-734,10.0,RISE
2020-05-26,8440.0,8190.0,8450.0,8170.0,8298.0,-1453,1453,0,0.0115,-1364,250.0,RISE
2020-05-25,8190.0,8210.0,8260.0,8120.0,2957.0,127,122,-249,0.0096,-1364,80.0,RISE
2020-05-22,8350.0,8350.0,8350.0,8350.0,13.0,,,,,,,
2020-05-21,8260.0,8390.0,8390.0,8250.0,9786.0,-476.0,717.0,-241.0,0.0097,-561.0,80.0,FALL
2020-05-20,8340.0,8400.0,8440.0,8250.0,4204.0,-407.0,871.0,-464.0,0.0087,-320.0,0.0,EVEN
2020-05-19,8340.0,8100.0,8410.0,8100.0,12252.0,-3057.0,2352.0,705.0,0.0075,144.0,160.0,RISE
2020-05-18,8180.0,8070.0,8320.0,8070.0,6434.0,-620.0,1042.0,-422.0,0.0043,-561.0,40.0,FALL
2020-05-15,8220.0,8320.0,8410.0,7800.0,9604.0,353.0,493.0,-846.0,0.0029,-139.0,90.0,FALL
2020-05-14,8310.0,8430.0,8570.0,8300.0,14488.0,327.0,-1595.0,1268.0,0.0023,707.0,290.0,FALL
2020-05-13,8600.0,8350.0,8650.0,8350.0,8710.0,-1196.0,1943.0,-747.0,0.0044,-561.0,30.0,RISE
2020-05-12,8570.0,8730.0,8870.0,8510.0,6033.0,-803.0,56.0,747.0,0.0018,186.0,160.0,FALL
2020-05-11,8730.0,9020.0,9100.0,8730.0,22192.0,1512.0,-1512.0,0.0,0.0017,-561.0,400.0,FALL
2020-05-08,9130.0,8770.0,9940.0,8730.0,123744.0,-298.0,298.0,0.0,0.0038,-561.0,410.0,RISE
2020-05-07,8720.0,8820.0,9100.0,8700.0,45713.0,2714.0,-2714.0,0.0,0.0034,-561.0,40.0,RISE
2020-05-06,8680.0,8590.0,8750.0,8530.0,22530.0,-3329.0,3733.0,-404.0,0.006999999999999999,-561.0,100.0,RISE
2020-05-04,8580.0,8720.0,8850.0,8550.0,16233.0,1636.0,-2040.0,404.0,0.002,-157.0,10.0,FALL
2020-04-29,8590.0,8520.0,8660.0,8500.0,16187.0,-634.0,858.0,-224.0,0.0047,-561.0,100.0,RISE
2020-04-28,8490.0,8420.0,8540.0,8180.0,37082.0,483.0,-706.0,223.0,0.0036,-337.0,120.0,RISE
2020-04-27,8370.0,8300.0,8580.0,8300.0,27729.0,2097.0,-1222.0,-875.0,0.0045,-560.0,70.0,RISE
2020-04-24,8300.0,8830.0,8930.0,8250.0,49655.0,716.0,-1543.0,827.0,0.0062,315.0,600.0,FALL
2020-04-23,8900.0,9020.0,9430.0,8630.0,177204.0,-1376.0,1327.0,49.0,0.0083,-512.0,900.0,FALL
2020-04-22,9800.0,8200.0,10200.0,7750.0,464084.0,1866.0,-1527.0,-339.0,0.0065,-561.0,1600.0,RISE
2020-04-21,8200.0,8930.0,8930.0,7640.0,98729.0,895.0,-1060.0,165.0,0.0086,-222.0,450.0,FALL
2020-04-20,8650.0,8150.0,8960.0,7820.0,135024.0,5232.0,-5406.0,174.0,0.01,-387.0,510.0,RISE
2020-04-17,8140.0,8140.0,8270.0,7690.0,30129.0,-1275.0,1345.0,-70.0,0.0174,-561.0,40.0,RISE
2020-04-16,8100.0,7540.0,8270.0,7350.0,50124.0,-6.0,202.0,-196.0,0.0155,-491.0,630.0,RISE
2020-04-14,7470.0,7080.0,7500.0,7080.0,18622.0,-3901.0,3635.0,266.0,0.0153,-295.0,390.0,RISE
2020-04-13,7080.0,7190.0,7190.0,6990.0,7327.0,50.0,84.0,-134.0,0.0103,-561.0,70.0,FALL
2020-04-10,7150.0,7330.0,7470.0,6950.0,30393.0,-1476.0,1342.0,134.0,0.0102,-427.0,190.0,FALL
2020-04-09,7340.0,7300.0,7380.0,7030.0,21020.0,148.0,-148.0,0.0,0.0084,-561.0,140.0,RISE
2020-04-08,7200.0,7060.0,7280.0,6710.0,26125.0,-1169.0,1169.0,0.0,0.0086,-561.0,160.0,RISE
2020-04-07,7040.0,6900.0,7190.0,6800.0,19865.0,1147.0,-1018.0,-129.0,0.006999999999999999,-561.0,260.0,RISE
2020-04-06,6780.0,6800.0,6970.0,6610.0,13347.0,-685.0,588.0,97.0,0.0084,-432.0,120.0,RISE
2020-04-03,6660.0,6600.0,6980.0,6400.0,16785.0,1467.0,-1496.0,29.0,0.0076,-529.0,20.0,FALL
2020-04-02,6680.0,6620.0,6700.0,6330.0,17390.0,1238.0,-1241.0,3.0,0.0096,-558.0,50.0,RISE
2020-04-01,6630.0,6520.0,6690.0,6310.0,23666.0,2316.0,-2266.0,-50.0,0.0113,-561.0,10.0,RISE
2020-03-31,6620.0,6190.0,7290.0,6140.0,94075.0,1314.0,-1364.0,50.0,0.0144,-511.0,480.0,RISE
2020-03-30,6140.0,5900.0,6200.0,5700.0,15118.0,1763.0,-1763.0,0.0,0.0162,-561.0,90.0,RISE
2020-03-27,6050.0,6100.0,6300.0,5760.0,32388.0,1349.0,-990.0,-359.0,0.0186,-561.0,50.0,RISE
2020-03-26,6000.0,5940.0,6300.0,5630.0,33632.0,1144.0,1872.0,-3016.0,0.02,-202.0,60.0,RISE
2020-03-25,5940.0,6390.0,6390.0,5700.0,45528.0,-5033.0,3096.0,1937.0,0.0174,2814.0,410.0,RISE
2020-03-24,5530.0,5100.0,5960.0,5060.0,78985.0,4563.0,-4343.0,-220.0,0.0132,877.0,490.0,RISE
2020-03-23,5040.0,5440.0,5440.0,4930.0,33769.0,-3120.0,2794.0,326.0,0.0191,1097.0,640.0,FALL
2020-03-20,5680.0,5600.0,5840.0,5500.0,53306.0,-3153.0,2231.0,922.0,0.0153,771.0,40.0,RISE
2020-03-19,5640.0,6990.0,6990.0,5320.0,6835.0,232.0,-162.0,-70.0,0.0123,-151.0,780.0,FALL
2020-03-18,6420.0,6630.0,7250.0,6400.0,19274.0,904.0,-1384.0,480.0,0.0125,-81.0,280.0,FALL
2020-03-17,6700.0,6300.0,6890.0,6120.0,13535.0,-1597.0,2078.0,-481.0,0.0144,-561.0,0.0,EVEN
2020-03-16,6700.0,6940.0,7980.0,6700.0,21148.0,167.0,-648.0,481.0,0.0116,-80.0,240.0,FALL
2020-03-13,6940.0,6020.0,7210.0,6020.0,34432.0,2170.0,-2170.0,0.0,0.0124,-561.0,260.0,FALL
2020-03-12,7200.0,7800.0,7840.0,7050.0,31828.0,1783.0,-35.0,-1748.0,0.0154,-561.0,650.0,FALL
2020-03-11,7850.0,8420.0,8420.0,7800.0,38249.0,1552.0,-3045.0,1493.0,0.0154,1187.0,390.0,FALL
2020-03-10,8240.0,8200.0,8400.0,8180.0,20311.0,24.0,-279.0,255.0,0.0196,-306.0,200.0,FALL
2020-03-09,8440.0,8750.0,8750.0,8290.0,22574.0,5090.0,-5090.0,0.0,0.02,-561.0,460.0,FALL
2020-03-06,8900.0,9030.0,9030.0,8750.0,12063.0,4886.0,-2034.0,-2852.0,0.0269,-561.0,20.0,FALL
2020-03-05,8920.0,8860.0,9000.0,8740.0,19734.0,-2664.0,2494.0,170.0,0.0296,2291.0,210.0,RISE
2020-03-04,8710.0,8510.0,9030.0,8510.0,14397.0,-3688.0,1006.0,2682.0,0.0263,2121.0,60.0,RISE
2020-03-03,8650.0,8700.0,8920.0,8620.0,22466.0,617.0,737.0,-1354.0,0.0249,-561.0,170.0,RISE
2020-03-02,8480.0,8650.0,8740.0,8380.0,24789.0,-945.0,-409.0,1354.0,0.0239,793.0,150.0,FALL
2020-02-28,8630.0,8900.0,9170.0,8500.0,17754.0,2600.0,-2460.0,-140.0,0.0244,-561.0,310.0,FALL
2020-02-27,8940.0,9100.0,9230.0,8890.0,23220.0,2114.0,-553.0,-1561.0,0.0278,-421.0,160.0,FALL
2020-02-26,9100.0,8880.0,9640.0,8880.0,70262.0,1029.0,-2166.0,1137.0,0.0285,1140.0,230.0,RISE
2020-02-25,8870.0,8380.0,9850.0,8210.0,111090.0,-4707.0,4143.0,564.0,0.0315,3.0,590.0,RISE
2020-02-24,8280.0,8880.0,8970.0,8190.0,12783.0,-950.0,950.0,0.0,0.0259,-561.0,620.0,FALL
2020-02-21,8900.0,9110.0,9320.0,8900.0,38457.0,194.0,286.0,-480.0,0.0246,-561.0,220.0,FALL
2020-02-20,9120.0,9350.0,9370.0,9080.0,35260.0,692.0,1076.0,-1768.0,0.0242,-81.0,290.0,FALL
2020-02-19,9410.0,9490.0,9660.0,9350.0,9578.0,975.0,1922.0,-2897.0,0.0227,1687.0,60.0,FALL
2020-02-18,9470.0,9460.0,9680.0,9200.0,31387.0,-1957.0,-183.0,2140.0,0.0201,4584.0,40.0,RISE
2020-02-17,9430.0,9490.0,9490.0,9310.0,10151.0,275.0,-276.0,1.0,0.0203,2444.0,70.0,FALL
2020-02-14,9500.0,9550.0,9780.0,9440.0,20136.0,2100.0,365.0,-2465.0,0.0207,2443.0,50.0,FALL
2020-02-13,9550.0,9700.0,9780.0,9540.0,8168.0,29.0,-831.0,802.0,0.0202,4908.0,150.0,FALL
2020-02-12,9700.0,10150.0,10250.0,9660.0,34271.0,-2187.0,5.0,2182.0,0.0214,4106.0,450.0,FALL
2020-02-11,10150.0,9550.0,10150.0,9550.0,40302.0,-1897.0,765.0,1132.0,0.0213,1924.0,520.0,RISE
2020-02-10,9630.0,9700.0,9710.0,9400.0,18134.0,-168.0,200.0,-32.0,0.0203,792.0,70.0,RISE
2020-02-07,9560.0,9020.0,9640.0,9020.0,41619.0,-468.0,-917.0,1385.0,0.02,824.0,380.0,RISE
2020-02-06,9180.0,8910.0,9260.0,8910.0,5414.0,-86.0,86.0,0.0,0.0213,-561.0,280.0,RISE
2020-02-05,8900.0,8600.0,9390.0,8540.0,28511.0,573.0,-8.0,-565.0,0.0212,-561.0,440.0,RISE
2020-02-04,8460.0,8340.0,8460.0,8260.0,4248.0,338.0,298.0,-636.0,0.0212,4.0,240.0,RISE
2020-02-03,8220.0,8500.0,8500.0,8100.0,13707.0,-241.0,328.0,-87.0,0.0208,640.0,280.0,FALL
2020-01-31,8500.0,8730.0,8820.0,8500.0,4646.0,2105.0,-105.0,-2000.0,0.0203,727.0,230.0,FALL
2020-01-30,8730.0,8920.0,8920.0,8730.0,3865.0,-721.0,-219.0,940.0,0.0205,2727.0,150.0,FALL
2020-01-29,8880.0,8790.0,8960.0,8790.0,4537.0,-2179.0,115.0,2064.0,0.0208,1787.0,70.0,RISE
2020-01-28,8810.0,9200.0,9200.0,8700.0,10351.0,1652.0,-1.0,-1651.0,0.0206,-277.0,450.0,FALL
2020-01-23,9260.0,9250.0,9390.0,9220.0,1233.0,-649.0,-289.0,938.0,0.0206,1374.0,90.0,FALL
2020-01-22,9350.0,9440.0,9460.0,9330.0,1545.0,-570.0,-427.0,997.0,0.021,436.0,50.0,FALL
2020-01-21,9400.0,9410.0,9440.0,9240.0,6453.0,529.0,-42.0,-487.0,0.0216,-561.0,90.0,RISE
2020-01-20,9310.0,9470.0,9610.0,9300.0,7418.0,-487.0,0.0,487.0,0.0216,-74.0,160.0,FALL
2020-01-17,9470.0,9530.0,9530.0,9460.0,4489.0,1666.0,-42.0,-1624.0,0.0216,-561.0,30.0,FALL
2020-01-16,9500.0,9530.0,9560.0,9480.0,4298.0,-2012.0,664.0,1348.0,0.0217,1063.0,90.0,FALL
2020-01-15,9590.0,9550.0,9600.0,9510.0,5751.0,1066.0,-235.0,-831.0,0.0208,-285.0,90.0,RISE
2020-01-14,9500.0,9600.0,9700.0,9390.0,6026.0,-515.0,-82.0,597.0,0.0211,546.0,60.0,FALL
2020-01-13,9560.0,9300.0,9710.0,9220.0,14405.0,887.0,-494.0,-393.0,0.0209,-51.0,350.0,RISE
2020-01-10,9210.0,9200.0,9320.0,9130.0,6298.0,35.0,-7.0,-28.0,0.0216,342.0,20.0,RISE
2020-01-09,9190.0,8890.0,9200.0,8850.0,9384.0,290.0,7.0,-297.0,0.0216,370.0,460.0,RISE
2020-01-08,8730.0,9200.0,9200.0,8710.0,11256.0,-221.0,-115.0,336.0,0.0216,667.0,480.0,FALL
2020-01-07,9210.0,9370.0,9480.0,9180.0,8856.0,539.0,-96.0,-443.0,0.0217,331.0,30.0,FALL
2020-01-06,9240.0,9520.0,9520.0,9240.0,5124.0,-1175.0,-160.0,1335.0,0.0219,774.0,320.0,FALL
2020-01-03,9560.0,9760.0,9760.0,9530.0,19340.0,203.0,-203.0,0.0,0.0221,-561.0,190.0,FALL
2020-01-02,9750.0,9850.0,9850.0,9600.0,2033.0,-105.0,105.0,0.0,0.0224,-561.0,10.0,FALL
2019-12-30,9760.0,9920.0,9920.0,9610.0,1440.0,64.0,-64.0,0.0,0.0222,-561.0,20.0,FALL
2019-12-27,9780.0,9760.0,9820.0,9670.0,240.0,8.0,-8.0,0.0,0.0223,-561.0,20.0,RISE
2019-12-26,9760.0,9680.0,9780.0,9400.0,3133.0,48.0,-48.0,0.0,0.0223,-561.0,120.0,RISE
2019-12-24,9640.0,9640.0,10100.0,9640.0,1214.0,22.0,-22.0,0.0,0.0224,-561.0,80.0,FALL
2019-12-23,9720.0,9850.0,9850.0,9580.0,3013.0,280.0,-280.0,0.0,0.0224,-561.0,130.0,FALL
2019-12-20,9850.0,9670.0,9940.0,9670.0,6346.0,36.0,-36.0,0.0,0.0228,-561.0,10.0,RISE
2019-12-19,9840.0,9920.0,9920.0,9730.0,3838.0,-69.0,69.0,0.0,0.0228,-561.0,0.0,EVEN
2019-12-18,9840.0,9660.0,9880.0,9650.0,6133.0,455.0,-455.0,0.0,0.0228,-561.0,160.0,RISE
2019-12-17,9680.0,9940.0,9940.0,9670.0,5754.0,577.0,-577.0,0.0,0.0234,-561.0,150.0,FALL
2019-12-16,9830.0,9700.0,9830.0,9700.0,846.0,38.0,-38.0,0.0,0.0242,-561.0,130.0,RISE
2019-12-13,9700.0,9630.0,9870.0,9630.0,1389.0,11.0,-11.0,0.0,0.0242,-561.0,130.0,FALL
2019-12-12,9830.0,9800.0,9830.0,9750.0,3835.0,415.0,-415.0,0.0,0.0242,-561.0,230.0,RISE
2019-12-11,9600.0,9790.0,9790.0,9560.0,2302.0,12.0,-12.0,0.0,0.0248,-561.0,50.0,FALL
2019-12-10,9650.0,9420.0,9690.0,9420.0,1168.0,189.0,-189.0,0.0,0.0248,-561.0,150.0,RISE
2019-12-09,9500.0,9630.0,9750.0,9200.0,3408.0,401.0,-401.0,0.0,0.0251,-561.0,130.0,FALL
2019-12-06,9630.0,9500.0,9720.0,9500.0,4251.0,47.0,-47.0,0.0,0.0256,-561.0,50.0,RISE
2019-12-05,9580.0,9790.0,9790.0,9580.0,6004.0,402.0,-402.0,0.0,0.0257,-561.0,70.0,FALL
2019-12-04,9650.0,9600.0,9800.0,9600.0,12871.0,-327.0,327.0,0.0,0.0262,-561.0,260.0,FALL
2019-12-03,9910.0,9700.0,10100.0,9700.0,5189.0,310.0,-310.0,0.0,0.0258,-561.0,40.0,FALL
2019-12-02,9950.0,10100.0,10100.0,9760.0,3832.0,253.0,-253.0,0.0,0.0262,-561.0,20.0,RISE
2019-11-29,9930.0,9800.0,10050.0,9610.0,6818.0,164.0,-164.0,0.0,0.0265,-561.0,90.0,RISE
2019-11-28,9840.0,9900.0,10100.0,9830.0,2428.0,145.0,-145.0,0.0,0.0268,-561.0,100.0,FALL
2019-11-27,9940.0,10050.0,10050.0,9930.0,1612.0,414.0,-414.0,0.0,0.027000000000000003,-561.0,110.0,FALL
2019-11-26,10050.0,9980.0,10150.0,9880.0,918.0,35.0,-35.0,0.0,0.0275,-561.0,160.0,RISE
2019-11-25,9890.0,9810.0,10300.0,9810.0,6268.0,530.0,-530.0,0.0,0.0276,-561.0,70.0,RISE
2019-11-22,9820.0,9730.0,9990.0,9730.0,7111.0,509.0,-509.0,0.0,0.0283,-561.0,20.0,FALL
2019-11-21,9840.0,9900.0,10200.0,9840.0,6879.0,241.0,-241.0,0.0,0.028999999999999998,-561.0,260.0,FALL
2019-11-20,10100.0,10350.0,10450.0,10000.0,8909.0,407.0,-407.0,0.0,0.0293,-561.0,350.0,FALL
2019-11-19,10450.0,10700.0,10700.0,10400.0,3037.0,74.0,-74.0,0.0,0.0299,-561.0,250.0,FALL
2019-11-18,10700.0,10800.0,10950.0,10650.0,13732.0,-979.0,979.0,0.0,0.03,-561.0,200.0,RISE
2019-11-15,10500.0,10450.0,10700.0,10300.0,5380.0,449.0,-449.0,0.0,0.0286,-561.0,50.0,RISE
2019-11-14,10450.0,10550.0,10650.0,10350.0,4850.0,26.0,-26.0,0.0,0.0292,-561.0,100.0,FALL
2019-11-13,10550.0,10650.0,10650.0,10550.0,2921.0,71.0,-71.0,0.0,0.0293,-561.0,0.0,EVEN
2019-11-12,10550.0,10750.0,10750.0,10550.0,3202.0,181.0,-181.0,0.0,0.0294,-561.0,200.0,FALL
2019-11-11,10750.0,10550.0,10900.0,10550.0,1640.0,305.0,-305.0,0.0,0.0296,-561.0,0.0,EVEN
2019-11-08,10750.0,10750.0,10800.0,10550.0,5512.0,3.0,-3.0,0.0,0.03,-561.0,150.0,RISE
2019-11-07,10600.0,10700.0,10800.0,10500.0,4818.0,-380.0,380.0,0.0,0.03,-561.0,150.0,FALL
2019-11-06,10750.0,10600.0,11250.0,10400.0,26405.0,854.0,-854.0,0.0,0.0295,-561.0,250.0,RISE
2019-11-05,10500.0,10800.0,10800.0,10450.0,6465.0,65.0,-65.0,0.0,0.0307,-561.0,150.0,FALL
2019-11-04,10650.0,10500.0,10650.0,10200.0,5741.0,-251.0,251.0,0.0,0.0308,-561.0,150.0,RISE
2019-11-01,10500.0,10450.0,10550.0,10250.0,3326.0,92.0,-92.0,0.0,0.0304,-561.0,50.0,RISE
2019-10-31,10450.0,10150.0,10450.0,10150.0,3933.0,-126.0,126.0,0.0,0.0306,-561.0,300.0,RISE
2019-10-30,10150.0,10400.0,10500.0,10100.0,6925.0,-369.0,369.0,0.0,0.0304,-561.0,300.0,FALL
2019-10-29,10450.0,10450.0,10600.0,10400.0,4601.0,-964.0,964.0,0.0,0.0299,-561.0,0.0,EVEN
2019-10-28,10450.0,10600.0,10600.0,10350.0,7573.0,-1149.0,1149.0,0.0,0.0286,-561.0,50.0,FALL
2019-10-25,10500.0,10750.0,10800.0,10400.0,6571.0,-335.0,335.0,0.0,0.027000000000000003,-561.0,150.0,FALL
2019-10-24,10650.0,10950.0,11000.0,10350.0,16832.0,-937.0,937.0,0.0,0.0266,-561.0,100.0,FALL
2019-10-23,10750.0,10800.0,11050.0,10650.0,16884.0,-2094.0,2094.0,0.0,0.0253,-561.0,400.0,FALL
2019-10-22,11150.0,11400.0,11400.0,11100.0,11006.0,-856.0,856.0,0.0,0.0224,-561.0,0.0,EVEN
2019-10-21,11150.0,11450.0,11550.0,11050.0,14398.0,1474.0,-1474.0,0.0,0.0213,-561.0,400.0,FALL
2019-10-18,11550.0,11100.0,12500.0,11100.0,137500.0,5838.0,-5838.0,0.0,0.0233,-561.0,550.0,RISE
2019-10-17,11000.0,11400.0,11400.0,11000.0,8835.0,-276.0,276.0,0.0,0.0312,-561.0,400.0,FALL
2019-10-16,11400.0,11750.0,11750.0,11200.0,4899.0,352.0,-352.0,0.0,0.0308,-561.0,50.0,FALL
2019-10-15,11450.0,11700.0,11700.0,11350.0,5066.0,872.0,-872.0,0.0,0.0313,-561.0,50.0,FALL
2019-10-14,11500.0,11450.0,11650.0,11150.0,5310.0,-320.0,320.0,0.0,0.0325,-561.0,250.0,RISE
2019-10-11,11250.0,11350.0,11500.0,11150.0,5122.0,8.0,-8.0,0.0,0.0321,-561.0,0.0,EVEN
2019-10-10,11250.0,11050.0,11500.0,10950.0,6624.0,-660.0,660.0,0.0,0.0321,-561.0,200.0,RISE
2019-10-08,11050.0,10900.0,11100.0,10650.0,11856.0,-1460.0,1460.0,0.0,0.0312,-561.0,200.0,RISE
2019-10-07,10850.0,11200.0,11500.0,10700.0,42629.0,-6633.0,6633.0,0.0,0.0292,-561.0,1550.0,FALL
2019-10-04,12400.0,12900.0,12900.0,12300.0,12985.0,1127.0,-1127.0,0.0,0.0202,-561.0,300.0,FALL
2019-10-02,12700.0,13150.0,13200.0,12500.0,32588.0,2807.0,-2807.0,0.0,0.0217,-561.0,300.0,RISE
2019-10-01,12400.0,12600.0,12850.0,12100.0,13643.0,1088.0,-1088.0,0.0,0.0255,-561.0,100.0,FALL
2019-09-30,12500.0,12400.0,12650.0,12250.0,10185.0,-579.0,579.0,0.0,0.027000000000000003,-561.0,150.0,FALL
2019-09-27,12650.0,12150.0,12750.0,11900.0,17842.0,-2170.0,2170.0,0.0,0.0262,-561.0,50.0,RISE
2019-09-26,12600.0,12750.0,13000.0,12200.0,20971.0,-2841.0,2841.0,0.0,0.0233,-561.0,350.0,RISE
2019-09-25,12250.0,13300.0,13450.0,12100.0,41303.0,396.0,-396.0,0.0,0.0194,-561.0,1200.0,FALL
2019-09-24,13450.0,13100.0,13600.0,12800.0,21986.0,-3456.0,3456.0,0.0,0.0199,-561.0,100.0,RISE
2019-09-23,13350.0,13350.0,13700.0,13050.0,66082.0,-2840.0,2840.0,0.0,0.0152,-561.0,450.0,RISE
2019-09-20,12900.0,12700.0,12900.0,12450.0,39924.0,-1650.0,1650.0,0.0,0.0114,-561.0,300.0,RISE
2019-09-19,12600.0,12050.0,12700.0,12050.0,53234.0,-4146.0,4146.0,0.0,0.0091,-561.0,600.0,RISE
2019-09-18,12000.0,12500.0,12900.0,11850.0,51198.0,350.0,-350.0,0.0,0.0035,-561.0,100.0,FALL
2019-09-17,12100.0,12150.0,12400.0,11600.0,81382.0,4580.0,-4580.0,0.0,0.004,-561.0,350.0,RISE
2019-09-16,11750.0,11450.0,12450.0,11100.0,155313.0,-875.0,875.0,0.0,0.0102,-561.0,700.0,RISE
2019-09-11,11050.0,11000.0,11150.0,10500.0,73538.0,529.0,-529.0,0.0,0.009000000000000001,-561.0,450.0,RISE
2019-09-10,10600.0,10500.0,10900.0,10150.0,66498.0,-1578.0,1578.0,0.0,0.0097,-561.0,600.0,RISE
2019-09-09,10000.0,10100.0,10250.0,9940.0,7462.0,1019.0,-1019.0,0.0,0.0076,-561.0,150.0,FALL
2019-09-06,10150.0,10000.0,10300.0,9990.0,5833.0,486.0,-486.0,0.0,0.009000000000000001,-561.0,0.0,EVEN
2019-09-05,10150.0,10200.0,10200.0,9610.0,11896.0,-653.0,653.0,0.0,0.0096,-561.0,100.0,FALL
2019-09-04,10250.0,10800.0,10800.0,10050.0,13343.0,152.0,-152.0,0.0,0.0087,-561.0,150.0,RISE
2019-09-03,10100.0,10000.0,10200.0,9920.0,13313.0,-899.0,899.0,0.0,0.009000000000000001,-561.0,100.0,RISE
2019-09-02,10000.0,9980.0,10000.0,9860.0,6582.0,-338.0,338.0,0.0,0.0077,-561.0,0.0,EVEN
2019-08-30,10000.0,9910.0,10100.0,9860.0,10218.0,-428.0,428.0,0.0,0.0073,-561.0,90.0,RISE
2019-08-29,9910.0,9910.0,10150.0,9750.0,17997.0,-177.0,177.0,0.0,0.0067,-561.0,10.0,RISE
2019-08-28,9900.0,9750.0,9950.0,9750.0,6160.0,-105.0,105.0,0.0,0.0064,-561.0,50.0,RISE
2019-08-27,9850.0,9930.0,10250.0,9760.0,14611.0,-1093.0,1093.0,0.0,0.0063,-561.0,80.0,RISE
2019-08-26,9770.0,9630.0,10100.0,9630.0,21268.0,-544.0,544.0,0.0,0.0048,-561.0,120.0,FALL
2019-08-23,9890.0,10100.0,10100.0,9760.0,24550.0,2820.0,-2820.0,0.0,0.0041,-561.0,100.0,FALL
2019-08-22,9990.0,10450.0,10450.0,9970.0,36006.0,4146.0,-4146.0,0.0,0.0079,-561.0,460.0,FALL
2019-08-21,10450.0,10350.0,10550.0,10200.0,14002.0,-3523.0,3523.0,0.0,0.0136,-561.0,50.0,FALL
2019-08-20,10500.0,10700.0,10700.0,10250.0,24636.0,882.0,-882.0,0.0,0.0086,-561.0,100.0,FALL
2019-08-19,10600.0,10750.0,10950.0,10450.0,62040.0,900.0,-900.0,0.0,0.0098,-561.0,100.0,RISE
2019-08-16,10500.0,10300.0,11900.0,9950.0,341521.0,-4433.0,4433.0,0.0,0.011000000000000001,-561.0,50.0,FALL
2019-08-14,10550.0,10250.0,11200.0,9950.0,108175.0,-2378.0,2378.0,0.0,0.005,-561.0,450.0,RISE
2019-08-13,10100.0,9980.0,10450.0,9700.0,69563.0,1146.0,-1146.0,0.0,0.0017,-561.0,140.0,RISE
2019-08-12,9960.0,9400.0,11450.0,9400.0,498319.0,788.0,-788.0,0.0,0.0033,-561.0,560.0,RISE
2019-08-09,9400.0,9720.0,11550.0,9370.0,666692.0,6923.0,-6923.0,0.0,0.0044,-561.0,500.0,RISE
2019-08-08,8900.0,8690.0,9060.0,8550.0,11046.0,-921.0,921.0,0.0,0.0138,-561.0,390.0,RISE
2019-08-07,8510.0,8530.0,8850.0,8350.0,13359.0,-49.0,49.0,0.0,0.0125,-561.0,200.0,FALL
2019-08-06,8710.0,8200.0,8780.0,8050.0,11379.0,-226.0,226.0,0.0,0.0125,-561.0,280.0,RISE
2019-08-05,8430.0,9030.0,9080.0,8430.0,6656.0,-10.0,70.0,-60.0,0.0122,-561.0,610.0,FALL
2019-08-02,9040.0,8890.0,9320.0,8650.0,7011.0,705.0,-705.0,0.0,0.0121,-501.0,140.0,RISE
2019-08-01,8900.0,9030.0,9400.0,8900.0,4621.0,509.0,-394.0,-115.0,0.013000000000000001,-501.0,120.0,FALL
2019-07-31,9020.0,9040.0,9140.0,8920.0,6365.0,-422.0,421.0,1.0,0.0136,-386.0,20.0,FALL
2019-07-30,9040.0,8780.0,9400.0,8780.0,13637.0,-2101.0,2101.0,0.0,0.013000000000000001,-387.0,270.0,RISE
2019-07-29,8770.0,9260.0,9400.0,8740.0,16142.0,2.0,271.0,-273.0,0.0101,-387.0,630.0,FALL
2019-07-26,9400.0,9210.0,9700.0,9210.0,11173.0,-91.0,826.0,-735.0,0.0098,-114.0,220.0,FALL
2019-07-25,9620.0,9980.0,10150.0,9470.0,26537.0,3288.0,-759.0,-2529.0,0.0086,621.0,530.0,FALL
2019-07-24,10150.0,10300.0,10500.0,10100.0,9781.0,-1304.0,472.0,832.0,0.0097,3150.0,250.0,FALL
2019-07-23,10400.0,10250.0,10450.0,10250.0,7747.0,-2207.0,403.0,1804.0,0.009000000000000001,2318.0,150.0,RISE
2019-07-22,10250.0,10700.0,10750.0,10100.0,17121.0,-377.0,377.0,0.0,0.0085,514.0,500.0,FALL
2019-07-19,10750.0,10550.0,10800.0,10550.0,2310.0,-631.0,-208.0,839.0,0.008,514.0,200.0,RISE
2019-07-18,10550.0,10650.0,11150.0,10450.0,9982.0,862.0,83.0,-945.0,0.0083,-325.0,100.0,FALL
2019-07-17,10650.0,10700.0,10800.0,10500.0,4057.0,-1164.0,-18.0,1182.0,0.0081,620.0,50.0,FALL
2019-07-16,10700.0,11050.0,11150.0,10450.0,6825.0,-45.0,45.0,0.0,0.0082,-562.0,400.0,FALL
2019-07-15,11100.0,11300.0,11450.0,11100.0,3559.0,-60.0,60.0,0.0,0.0081,-562.0,300.0,FALL
